Dataset,Experiment,Repository,URL,2D images,3D acquisitions,Assets
2D and 3D instance segmentation of nuclei from volume electron microscopy data,Mouse & Human Nuclei Instance Segmentation vEM,BioImage Archive,https://www.ebi.ac.uk/biostudies/studies/S-BIAD2822,10,2,12
2D Transmission Electron Microscopy Images,Human Brain Immersion-Fixation Brain-Banking Preservation,Zenodo,https://doi.org/10.5281/zenodo.13887923,0,131,131
3D FIB/SEM Imaging of the Molecular Layer of the Mouse Dentate Gyrus,Mouse Dentate Gyrus Astrocyte Leaflet FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12557,0,5,5
"3D imaging and quantitative analysis of digestive glands morphogenesis during crustacean development: application of micro-CT, light and electron microscopy",Crustacean Digestive Gland Morphogenesis TEM,Zenodo,https://doi.org/10.5281/zenodo.19369446,7,0,7
3D reconstruction of structures of hatched larva and young juvenile of the larvacean Oikopleura dioica using SBF-SEM. - Juvenile,Oikopleura dioica SBF-SEM,Dryad,https://doi.org/10.5061/dryad.d51c5b012,0,1,1
"3D reconstruction of the tubular system of preterm G55/57, mid term G58/60 and term G66/68 of guinea pig left ventricles",Guinea Pig Left Ventricle SBF-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10147,0,3,3
3D serial block-face scanning electron microscopy (SBF-SEM) imaging of a rat pelvic nerve - Volume 1 (Version 2),Rat Pelvic Nerve SBF-SEM,SPARC,https://doi.org/10.26275/8bbl-fzip,0,1,1
7 day post fertilization larval zebrafish cardiac tissue,Zebrafish Larval Heart FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.22630519,0,1,1
A detailed ultrastructural examination of lung cryobiopsy samples from a COVID-19 patient case series — Data set 08,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5682693,3,0,3
A detailed ultrastructural examination of lung cryobiopsy samples from a COVID-19 patient case series — Data set 09,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5682744,3,0,3
A detailed ultrastructural examination of lung cryobiopsy samples from a COVID-19 patient case series — Data set 10,Human COVID-19 Lung Cryobiopsy Ultrastructure,Zenodo,https://doi.org/10.5281/zenodo.5682815,4,0,4
A high-throughput electron tomography workflow reveals over-elongated centrioles in relapsed-refractory multiple myeloma,Human Multiple Myeloma Plasma Cell ET,EMPIAR,https://doi.org/10.6019/EMPIAR-11243,0,358,358
A large-scale transmission electron microscopy dataset of an adult mouse cerebellum,Mouse Cerebellum ssTEM,BossDB,https://doi.org/10.60533/BOSS-2022-9RSJ,0,1,1
A novel Argonaute 2-Niche at the midzone is essential for Cell-division integrity,Human Cytokinetic Protrusion TEM,Zenodo,https://doi.org/10.5281/zenodo.4270681,2,0,2
Adaptive traits of cysts of the snow alga Sanguina nivaloides unveiled by 3D subcellular imaging,Sanguina nivaloides Snow Alga Cyst FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-11694,0,2,2
Adipose organ plasticity - TEM,Mouse Mammary Gland Adipose Plasticity TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3710,1,0,1
Adipose organ transdifferentiation - TEM (2009),Mouse Adipose Organ Transdifferentiation TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3710,1,0,1
Adipose organ transdifferentiation triangle - TEM (2025),Mouse Adipose Organ Transdifferentiation TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3710,3,0,3
Adipose Progenitors Differentiated to Adipocytes,Mouse Adipose Progenitor Differentiation TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3728,16,0,16
"Adipose Progenitors Differentiated to Adipocytes, MIZ-treated",Mouse Adipose Progenitor Differentiation TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3728,21,0,21
Adipose-to-mammary transdifferentiation TEM,Mouse Adipose-to-Mammary Transdifferentiation TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3710,1,0,1
"Aged mouse pancreatic islet, cerebral cortex and liver",Aged Mouse Multi-Organ SEM,BioImage Archive,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD3923,15,0,15
Alport model - 16 weeks,Mouse Kidney Aging and Alport Disease Matrix TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3708,37,0,37
Alport model - 8 weeks,Mouse Kidney Aging and Alport Disease Matrix TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD3708,36,0,36
An Aedes aegypti mosquito antennal lobe EM dataset,Aedes aegypti Antennal Lobe ssTEM,BossDB,https://doi.org/10.60533/boss-2025-gcyr,0,1,1
An intranuclear bacterial parasite of deep-sea mussels expresses apoptosis inhibitors acquired from its host,Endonucleobacter Intranuclear Parasite in Deep-Sea Mussel TEM,Zenodo,https://doi.org/10.5281/zenodo.13144501,6,0,6
Arabidopsis Root Phloem SBF-SEM Volumes,Arabidopsis Root Phloem SBF-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10442,0,4,4
"Array Tomography of zebrafish axillary lymphoid organ - an external, experimentally accessible immune organ in the zebrafish",Zebrafish Axillary Lymphoid Organ SEM,EMPIAR,https://www.ebi.ac.uk/empiar/EMPIAR-12377/,0,7,7
ASEM/incasem FIB-SEM Cell Volumes,Mammalian Cell Organelle Segmentation FIB-SEM,Quilt,https://open.quiltdata.com/b/asem-project/tree/datasets/,0,34,34
ATUM-Tomo: A multi-scale approach to cellular ultrastructure by combined volume scanning electron microscopy and electron tomography,Mouse Traumatic Brain Injury Cortex Correlative ATUM-Tomo,BioImage Archive,https://doi.org/10.6019/S-BIAD1274,0,6,6
Automated quantification of photoreceptor outer segments in developing and degenerating retinas on microscopy images across scales,Mouse Retinal Photoreceptor Outer Segment TEM,BioImage Archive,https://doi.org/10.6019/S-BIAD1078,87,0,87
BANC Adult Drosophila CNS EM Volume,BANC Adult Drosophila CNS Connectome ssTEM,BossDB,https://doi.org/10.60533/boss-2025-941r,0,1,1
Basolateral Amygdala Synapse Serial-Section TEM,Mouse Basolateral Amygdala Alpha-Synuclein Aggregation TEM,BossDB,https://doi.org/10.60533/boss-2024-3x51,0,16,16
Benchmark FIB SEM data of HeLa cells previously imaged by Zeiss LSM900 Airyscan microscopy,HeLa Cell FIB-SEM Benchmark,EMPIAR,https://doi.org/10.6019/EMPIAR-10819,0,1,1
Benchmark TEM data of mouse brain previously imaged by Nikon confocal microscopy,Mouse Brain vCLEM,EMPIAR,https://doi.org/10.6019/EMPIAR-12850,6,3,9
Benchmarking Anisotropic vEM Evaluation for Axial Super-Resolution (BRAVE-ASR),Mouse Brain Axial Super-Resolution Benchmark FIB-SEM,Zenodo,https://doi.org/10.5281/zenodo.17299282,0,2,2
