model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status,inst_n_pred,inst_n_gt,inst_precision@0.5,inst_recall@0.5,inst_f1@0.5,inst_ap@0.5,inst_precision@0.75,inst_recall@0.75,inst_f1@0.75,inst_ap@0.75,inst_pq,inst_sq,inst_rq
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00000,sparse,4.68,20180115_B1_1_10.jpg,11.311,0.507492,0.340027,0.400438,0.692675,0.507492,0.996296,0.997134,32021,47944,14207,16683044,46228,79965,1238472,0.037327,0.584722,0.189479,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00001,sparse,4.68,20180115_B1_1_19.jpg,1.518,0.547689,0.377116,0.512893,0.587551,0.547689,0.996309,0.997869,37494,35609,26320,16677793,63814,73103,1270392,0.050232,0.563411,0.182154,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00002,sparse,4.68,20180115_B1_1_20.jpg,1.595,0.590838,0.419283,0.489641,0.744762,0.590838,0.99855,0.998908,17560,18303,6018,16735335,23578,35863,530910,0.044411,0.601173,0.22851,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00003,sparse,4.68,20180115_B1_1_28.jpg,1.853,0.608316,0.437107,0.689909,0.54398,0.608316,0.995978,0.998588,52400,23552,43927,16657337,96327,75952,896660,0.107429,0.647426,0.211208,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00004,sparse,4.68,20180115_B1_1_30.jpg,1.904,0.694698,0.532212,0.709313,0.680673,0.694698,0.995455,0.997865,86749,35551,40697,16614219,127446,122300,1226745,0.10389,0.749285,0.290341,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00005,sparse,4.68,20180115_B1_1_32.jpg,1.609,0.548364,0.377756,0.4643,0.669598,0.548364,0.996023,0.997204,40506,46735,19987,16669988,60493,87241,816384,0.074099,0.632348,0.180538,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00006,sparse,4.68,20180115_B7_1_09.jpg,2.134,0.657618,0.489889,0.661121,0.654152,0.657618,0.995844,0.997942,66957,34321,35400,16640538,102357,101278,1282930,0.079784,0.684636,0.269344,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00007,sparse,4.68,20180115_B7_1_10.jpg,1.837,0.504893,0.337696,0.38303,0.740478,0.504893,0.996052,0.996749,33771,54397,11836,16677212,45607,88168,1048092,0.043514,0.529728,0.191777,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00008,sparse,4.68,20180115_B7_1_11.jpg,1.772,0.627929,0.45765,0.667,0.593181,0.627929,0.995667,0.998163,61348,30628,42074,16643166,103422,91976,1226880,0.084297,0.616659,0.240882,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00009,sparse,4.68,20180115_B7_1_15.jpg,1.89,0.519228,0.350647,0.430775,0.653391,0.519228,0.996905,0.997786,28037,37048,14873,16697258,42910,65085,892314,0.048088,0.559179,0.254419,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00010,sparse,4.68,20180115_B7_1_25.jpg,1.701,0.561139,0.389989,0.411688,0.880939,0.561139,0.997888,0.998067,22656,32376,3062,16719122,25718,55032,1014930,0.02534,0.549393,0.28446,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00011,sparse,4.68,20180115_B7_1_30.jpg,1.442,0.444066,0.285402,0.292204,0.924582,0.444066,0.998695,0.998737,8741,21173,713,16746589,9454,29914,1268552,0.007453,0.404448,0.243143,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00012,sparse,4.68,20180115_B7_1_31.jpg,1.809,0.659427,0.491899,0.647776,0.671505,0.659427,0.996949,0.998387,49549,26942,24239,16676486,73788,76491,879472,0.0839,0.678677,0.241381,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00013,sparse,4.68,20180115_B7_1_40.jpg,1.52,0.669727,0.503451,0.627151,0.718504,0.669727,0.997753,0.998641,38223,22724,14975,16701294,53198,60947,1223712,0.043473,0.679545,0.290303,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00014,sparse,4.68,20180115_B7_1_41.jpg,1.624,0.490813,0.325217,0.454374,0.533607,0.490813,0.995866,0.997598,33431,40145,29220,16674420,62651,73576,938616,0.066748,0.462324,0.185173,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00015,sparse,4.68,20180115_B9_2_setted_01.jpg,1.718,0.319257,0.18995,0.553734,0.224284,0.319257,0.997269,0.999482,10743,8658,37156,16720659,47899,19401,844497,0.056719,0.362151,0.143903,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00016,sparse,4.68,20180115_B9_2_setted_02.jpg,1.587,0.468054,0.305529,0.49857,0.441058,0.468054,0.997757,0.999005,16556,16651,20981,16723028,37537,33207,707350,0.053067,0.508397,0.132123,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00017,sparse,4.68,20180115_B9_2_setted_03.jpg,1.571,0.581702,0.410141,0.520477,0.659251,0.581702,0.997152,0.99817,33221,30607,17171,16696217,50392,63828,1050594,0.047965,0.646672,0.297329,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00018,sparse,4.68,20180115_B9_2_setted_04.jpg,1.487,0.382182,0.236233,0.371979,0.39296,0.382182,0.996921,0.998388,15975,26971,24678,16709592,40653,42946,827200,0.049145,0.430521,0.192497,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00019,sparse,4.68,20180115_B9_2_setted_06.jpg,1.503,0.598481,0.427024,0.857301,0.459698,0.598481,0.99722,0.999654,34761,5786,40856,16695813,75617,40547,1303260,0.058021,0.6277,0.270703,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00020,sparse,4.68,20180115_B9_2_setted_10.jpg,1.581,0.547469,0.376907,0.565288,0.530739,0.547469,0.996969,0.998585,30759,23654,27196,16695607,57955,54413,1239040,0.046774,0.573627,0.208477,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00021,sparse,4.68,20180115_B9_2_setted_16.jpg,1.491,0.487564,0.32237,0.475974,0.499732,0.487564,0.996263,0.998036,29825,32836,29857,16684698,59682,62661,1141690,0.052275,0.511544,0.189982,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00022,sparse,4.68,20180115_B9_2_setted_20.jpg,1.713,0.678765,0.513736,0.71803,0.643572,0.678765,0.997527,0.99897,43835,17214,24277,16691890,68112,61049,944025,0.072151,0.672665,0.264213,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00023,sparse,4.68,20180115_B9_3_Setted_25.jpg,1.561,0.59617,0.424674,0.527911,0.684701,0.59617,0.996933,0.997969,37979,33963,17489,16687785,55468,71942,979080,0.056653,0.665468,0.237424,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00024,sparse,4.68,20180115_B9_4_setted_01.jpg,1.446,0.0,0.0,0.0,0.0,0.0,0.997295,0.998031,0,33004,12380,16731832,12380,33004,769874,0.016081,0.0,0.0,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00025,sparse,4.68,20180115_B9_4_setted_02.jpg,1.518,0.389239,0.241649,0.326178,0.482528,0.389239,0.998246,0.998844,9376,19369,10055,16738416,19431,28745,714868,0.027181,0.380961,0.249074,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00026,sparse,4.68,20180115_B9_4_setted_03.jpg,1.491,0.664873,0.497985,0.775186,0.582044,0.664873,0.997483,0.999273,41881,12146,30074,16693115,71955,54027,1157013,0.06219,0.68823,0.307999,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00027,sparse,4.68,20180115_B9_4_setted_04.jpg,1.428,0.340225,0.204983,0.646675,0.230835,0.340225,0.997639,0.999667,10211,5579,34024,16727402,44235,15790,976260,0.045311,0.379636,0.20458,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00028,sparse,4.68,20180115_B9_4_setted_10.jpg,1.682,0.638534,0.469004,0.550977,0.759176,0.638534,0.996805,0.997692,47346,38585,15019,16676266,62365,85931,1182384,0.052745,0.620759,0.293674,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00029,sparse,4.68,20180115_B9_4_setted_20.jpg,1.581,0.378059,0.233091,0.291209,0.538732,0.378059,0.995097,0.996363,25002,60854,21407,16669953,46409,85856,989109,0.04692,0.490976,0.217434,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00030,sparse,4.68,20180115_B9_5_setted_01.jpg,1.437,0.662808,0.495672,0.857643,0.540109,0.662808,0.997593,0.999606,39684,6587,33790,16697155,73474,46271,1315275,0.055862,0.649175,0.253936,ok,,,,,,,,,,,,,
deepcontact_mito,mito,deepcontact_tem,DeepContact-TEM,tem_00031,sparse,4.68,20180115_B9_5_setted_02.jpg,1.577,0.61001,0.43886,0.468011,0.87571,0.61001,0.998367,0.998546,21426,24355,3041,16728394,24467,45781,586282,0.041732,0.667305,0.296689,ok,,,,,,,,,,,,,
