model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00000,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_001.tif,38.983,0.162542,0.08846,0.157848,0.167522,0.162542,0.999339,0.999657,1077,5746,5352,16765041,6429,6823,196168,0.032773,0.173606,0.206616,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00001,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_015.tif,35.934,0.262379,0.150999,0.198365,0.387393,0.262379,0.99904,0.99931,2864,11574,4529,16758249,7393,14438,269671,0.027415,0.284674,0.297324,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00002,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_029.tif,36.469,0.295302,0.173228,0.249908,0.360848,0.295302,0.998842,0.999271,4070,12216,7209,16753721,11279,16286,298309,0.03781,0.327148,0.353039,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00003,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_043.tif,36.782,0.268324,0.15495,0.198992,0.4118,0.268324,0.998228,0.998691,5451,21942,7786,16742037,13237,27393,443916,0.029819,0.284186,0.295276,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00004,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_057.tif,35.885,0.286774,0.167388,0.21072,0.448731,0.286774,0.998086,0.998558,6455,24178,7930,16738653,14385,30633,513380,0.02802,0.309236,0.306032,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00005,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_071.tif,36.422,0.223198,0.125618,0.154789,0.399963,0.223198,0.997332,0.997905,6431,35116,9648,16726021,16079,41547,647348,0.024838,0.25149,0.25765,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00006,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_085.tif,36.105,0.255374,0.146378,0.171301,0.501508,0.255374,0.996936,0.997456,8815,42644,8762,16716995,17577,51459,718998,0.024447,0.278605,0.285677,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00007,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_099.tif,36.254,0.260309,0.149629,0.169831,0.557103,0.260309,0.996925,0.997352,9078,44375,7217,16716546,16295,53453,815304,0.019986,0.307209,0.310021,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00008,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_113.tif,36.583,0.178441,0.09796,0.109409,0.483521,0.178441,0.996304,0.99673,6734,54815,7193,16708474,13927,61549,917590,0.015178,0.224509,0.268921,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00009,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_127.tif,36.465,0.169626,0.092673,0.103386,0.472111,0.169626,0.996424,0.99683,6128,53145,6852,16711091,12980,59273,946275,0.013717,0.197764,0.222466,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00010,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_141.tif,36.352,0.213928,0.119776,0.14196,0.433897,0.213928,0.996406,0.997041,8205,49593,10705,16708713,18910,57798,940905,0.020098,0.258258,0.259893,ok
incasem,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00011,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_155.tif,36.473,0.213542,0.119534,0.136773,0.486744,0.213542,0.996163,0.996709,8739,55155,9215,16704107,17954,63894,1015740,0.017676,0.261105,0.311122,ok
