model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00000,sparse,4.68,20180115_B1_1_10.jpg,25.07,0.312168,0.184952,0.199393,0.718612,0.312168,0.991274,0.992028,33220,133386,13008,16597602,46228,166606,1238472,0.037327,0.169208,0.164005,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00001,sparse,4.68,20180115_B1_1_19.jpg,26.009,0.288782,0.168758,0.190619,0.595387,0.288782,0.988845,0.990348,37994,161325,25820,16552077,63814,199319,1270392,0.050232,0.25243,0.210729,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00002,sparse,4.68,20180115_B1_1_20.jpg,13.27,0.304091,0.179309,0.20429,0.594537,0.304091,0.996176,0.996741,14018,54600,9560,16699038,23578,68618,530910,0.044411,0.152817,0.13203,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00003,sparse,4.68,20180115_B1_1_28.jpg,20.738,0.423695,0.26879,0.338553,0.566051,0.423695,0.991159,0.993614,54526,106530,41801,16574359,96327,161056,896660,0.107429,0.29471,0.291946,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00004,sparse,4.68,20180115_B1_1_30.jpg,25.903,0.594421,0.422901,0.551868,0.644085,0.594421,0.993323,0.995997,82086,66656,45360,16583114,127446,148742,1226745,0.10389,0.472965,0.413906,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00005,sparse,4.68,20180115_B1_1_32.jpg,18.975,0.251666,0.143946,0.194109,0.357744,0.251666,0.992329,0.994625,21641,89848,38852,16626875,60493,111489,816384,0.074099,0.187772,0.167394,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00006,sparse,4.68,20180115_B7_1_09.jpg,25.645,0.527627,0.358351,0.431184,0.679641,0.527627,0.992576,0.994496,69566,91771,32791,16583088,102357,161337,1282930,0.079784,0.379454,0.337071,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00007,sparse,4.68,20180115_B7_1_10.jpg,22.978,0.342838,0.206883,0.225078,0.719034,0.342838,0.992507,0.993252,32793,112903,12814,16618706,45607,145696,1048092,0.043514,0.243772,0.180115,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00008,sparse,4.68,20180115_B7_1_11.jpg,25.785,0.472791,0.309578,0.375214,0.638955,0.472791,0.991216,0.993401,66082,110036,37340,16563758,103422,176118,1226880,0.084297,0.322649,0.273988,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00009,sparse,4.68,20180115_B7_1_15.jpg,20.737,0.354866,0.215706,0.237935,0.697786,0.354866,0.993511,0.994269,29942,95899,12968,16638407,42910,125841,892314,0.048088,0.246466,0.216937,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00010,sparse,4.68,20180115_B7_1_25.jpg,23.396,0.21392,0.119771,0.128946,0.627304,0.21392,0.992933,0.993494,16133,108981,9585,16642517,25718,125114,1014930,0.02534,0.146218,0.11882,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00011,sparse,4.68,20180115_B7_1_30.jpg,25.589,0.117782,0.062576,0.063166,0.870214,0.117782,0.992654,0.992723,8227,122018,1227,16645744,9454,130245,1268552,0.007453,0.029381,0.051028,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00012,sparse,4.68,20180115_B7_1_31.jpg,20.982,0.447398,0.28816,0.397873,0.511004,0.447398,0.994448,0.996584,37706,57063,36082,16646365,73788,94769,879472,0.0839,0.339357,0.266009,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00013,sparse,4.68,20180115_B7_1_40.jpg,25.651,0.401363,0.251066,0.315207,0.552333,0.401363,0.994776,0.996183,29383,63835,23815,16660183,53198,93218,1223712,0.043473,0.215312,0.212069,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00014,sparse,4.68,20180115_B7_1_41.jpg,21.106,0.369148,0.226352,0.28284,0.53126,0.369148,0.993219,0.994951,33284,84394,29367,16630171,62651,117678,938616,0.066748,0.312209,0.207476,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00015,sparse,4.68,20180115_B9_2_setted_01.jpg,18.62,0.233651,0.132279,0.166717,0.390384,0.233651,0.992689,0.994413,18699,93461,29200,16635856,47899,112160,844497,0.056719,0.17555,0.142551,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00016,sparse,4.68,20180115_B9_2_setted_02.jpg,18.585,0.19495,0.108003,0.138333,0.330021,0.19495,0.993902,0.99539,12388,77164,25149,16662515,37537,89552,707350,0.053067,0.097742,0.158626,ok
incasem,mito,deepcontact_tem,DeepContact-TEM,tem_00017,sparse,4.68,20180115_B9_2_setted_03.jpg,23.607,0.354314,0.215299,0.262265,0.54592,0.354314,0.994024,0.995374,27510,77384,22882,16649440,50392,104894,1050594,0.047965,0.275526,0.227338,ok
