model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00018,partial,5.0,202101-B7_19.tif,1.308,0.666281,0.499566,0.961647,0.509721,0.666281,0.997561,0.999902,40845,1629,39287,16695455,80132,42474,4310446,0.01859,0.671786,0.181786,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00019,partial,5.0,202101-CB8_19.tif,3.321,0.83487,0.716547,0.944898,0.747794,0.83487,0.989954,0.998467,426046,24845,143691,16182634,569737,450891,4241268,0.134332,0.771003,0.667771,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00020,partial,5.0,202101-CB8_28.tif,1.0,0.937438,0.882243,0.950392,0.924832,0.937438,0.991871,0.996597,1021739,53332,83044,15619101,1104783,1075071,4233000,0.260993,0.896754,0.820743,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00047,partial,5.0,U2OS-1_10.tif,1.022,0.053841,0.027665,0.10392,0.036332,0.053841,0.999156,0.999793,403,3475,10689,16762649,11092,3878,5522499,0.002009,0.050847,0.029836,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00050,partial,5.0,U2OS-1_14.tif,2.578,0.068558,0.035496,0.039452,0.26142,0.068558,0.99632,0.996701,2272,55317,6419,16713208,8691,57589,4184064,0.002077,0.029899,0.033866,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00057,full,5.0,U2OS-1_3.tif,3.416,0.002839,0.001422,0.176101,0.001431,0.002839,0.998828,0.999992,28,131,19536,16757521,19564,159,16777216,0.001166,0.0,0.021898,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00058,full,5.0,U2OS-1_3.tif,1.167,0.016617,0.008378,1.0,0.008378,0.016617,0.999725,1.0,39,0,4616,16772561,4655,39,16777216,0.000277,0.0,0.097166,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00063,full,5.0,U2OS-1_8.tif,1.234,0.008889,0.004464,1.0,0.004464,0.008889,0.999216,1.0,59,0,13157,16764000,13216,59,16777216,0.000788,0.0,0.016043,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00064,full,5.0,U2OS-1_8.tif,1.306,0.677842,0.512678,0.980413,0.517984,0.677842,0.999183,0.999983,14416,288,13415,16749097,27831,14704,16777216,0.001659,0.3031,0.612177,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00065,partial,5.0,U2OS-2_10.tif,0.632,0.252603,0.144559,0.153953,0.703199,0.252603,0.996945,0.997161,8662,47602,3656,16717296,12318,56264,5531904,0.002227,0.204377,0.210541,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00069,partial,5.0,U2OS-2_14.tif,0.264,0.949817,0.90443,0.973124,0.9276,0.949817,0.999637,0.999905,57680,1593,4502,16713441,62182,59273,4194304,0.014825,0.6,0.702723,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00072,full,5.0,U2OS-2_3.tif,1.598,0.862116,0.757648,0.83946,0.886029,0.862116,0.997595,0.99855,126128,24121,16224,16610743,142352,150249,16777216,0.008485,0.60393,0.644965,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00073,full,5.0,U2OS-2_3.tif,3.799,0.811536,0.682844,0.749209,0.885172,0.811536,0.983647,0.987726,590688,197727,76626,15912175,667314,788415,16777216,0.039775,0.718905,0.527907,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00074,partial,5.0,U2OS-2_8.tif,0.926,0.389981,0.242222,0.250064,0.885371,0.389981,0.998722,0.998775,6851,20546,887,16748932,7738,27397,9066120,0.000854,0.367937,0.552212,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00075,full,5.0,U2OS-3_1.tif,4.35,0.713929,0.555124,0.609755,0.861031,0.713929,0.980666,0.984115,404755,259044,65327,16048090,470082,663799,16777216,0.028019,0.488822,0.658156,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00076,full,5.0,U2OS-3_1.tif,5.406,0.731981,0.577264,0.625413,0.882327,0.731981,0.981305,0.984254,428310,256534,57122,16035250,485432,684844,16777216,0.028934,0.49607,0.664449,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00078,partial,5.0,U2OS-3_11.tif,0.701,0.06699,0.034656,0.062469,0.072215,0.06699,0.974893,0.986302,15122,226949,194280,16340865,209402,242071,4194304,0.049925,0.048143,0.024721,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00080,partial,5.0,U2OS-3_12.tif,0.383,0.012178,0.006126,0.017611,0.009307,0.012178,0.978031,0.992334,2272,126738,241848,16406358,244120,129010,3349335,0.072886,0.0,0.004313,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00082,partial,5.0,U2OS-3_13.tif,0.373,0.000496,0.000248,0.000738,0.000374,0.000496,0.980081,0.993209,83,112422,221756,16442955,221839,112505,3817125,0.058117,0.0,0.00393,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00083,partial,5.0,U2OS-3_14.tif,0.61,0.718529,0.560707,0.69041,0.749037,0.718529,0.990506,0.994477,203305,91165,68117,16414629,271422,294470,4194304,0.064712,0.619708,0.646305,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00084,partial,5.0,U2OS-3_14.tif,0.552,0.092983,0.048759,0.096831,0.089429,0.092983,0.967503,0.984169,27946,260659,284546,16204065,312492,288605,3921112,0.079695,0.062855,0.042106,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00085,partial,5.0,U2OS-3_16.tif,0.501,0.911024,0.836587,0.945405,0.879055,0.911024,0.998353,0.999508,141461,8169,19463,16608123,160924,149630,2799272,0.057488,0.865001,0.768336,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00086,partial,5.0,U2OS-3_17.tif,0.803,0.932852,0.874155,0.976277,0.893126,0.932852,0.997199,0.999517,326385,7931,39056,16403844,365441,334316,3403000,0.107388,0.962177,0.846994,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00087,partial,5.0,U2OS-3_18.tif,0.769,0.798905,0.665147,0.728756,0.883996,0.798905,0.991161,0.993333,294567,109638,38655,16334356,333222,404205,3687872,0.090356,0.753889,0.737017,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00088,partial,5.0,U2OS-3_19.tif,0.847,0.873061,0.774719,0.82742,0.924032,0.873061,0.992488,0.994457,433409,90399,35632,16217776,469041,523808,4012000,0.11691,0.681352,0.683627,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00089,full,5.0,U2OS-3_21.tif,4.572,0.379797,0.234413,0.492585,0.309036,0.379797,0.934151,0.977781,338266,348450,756317,15334183,1094583,686716,16777216,0.065242,0.46615,0.502236,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00090,full,5.0,U2OS-3_21.tif,3.987,0.374423,0.230332,0.433693,0.329404,0.374423,0.936071,0.973478,320975,419122,653435,15383684,974410,740097,16777216,0.058079,0.437988,0.466041,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00093,full,5.0,U2OS-3_3.tif,2.887,0.782967,0.643341,0.717858,0.861065,0.782967,0.988936,0.99197,334839,131603,54027,16256747,388866,466442,16777216,0.023178,0.669116,0.789883,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00094,full,5.0,U2OS-3_3.tif,3.025,0.857733,0.750905,0.848486,0.867185,0.857733,0.991119,0.995067,449147,80204,68790,16179075,517937,529351,16777216,0.030871,0.778501,0.866147,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00095,sparse,5.0,U2OS-3_6.tif,0.638,0.850181,0.739404,0.798527,0.90898,0.850181,0.99755,0.998232,116644,29430,11680,16619462,128324,146074,4186116,0.030655,0.534445,0.723922,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00097,partial,5.0,U2OS-4_25.tif,0.753,0.923596,0.858039,0.921583,0.925619,0.923596,0.99684,0.998341,320390,27262,25746,16403818,346136,347652,6303744,0.05491,0.830389,0.843209,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00104,partial,5.0,U2OS-4_8.tif,2.716,0.927417,0.864657,0.991107,0.871418,0.927417,0.998958,0.99994,111667,1002,16477,16648070,128144,112669,6300672,0.020338,0.887139,0.90055,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00114,partial,5.0,U2OS-7_9.tif,0.92,0.940237,0.887215,0.977959,0.905317,0.940237,0.992516,0.998581,987730,22261,103302,15663923,1091032,1009991,4384380,0.248845,0.926409,0.866999,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00121,partial,5.0,U2OS1-TEM_00_06.jpg,1.05,0.86828,0.767221,0.998425,0.768151,0.86828,0.998246,0.999991,97009,153,29280,16650774,126289,97162,11850768,0.010657,0.529915,0.626311,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00122,partial,5.0,U2OS1_25.tif,0.39,0.74772,0.597087,1.0,0.597087,0.74772,0.999505,1.0,12297,0,8298,16756621,20595,12297,4190205,0.004915,0.948529,0.0,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00123,partial,5.0,U2OS1_43.tif,0.371,0.0,0.0,0.0,0.0,0.0,0.998945,0.999835,0,2760,14933,16759523,14933,2760,4198401,0.003557,0.0,0.0,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00124,partial,5.0,U2OS1_51.tif,0.448,0.932354,0.873281,0.9941,0.877831,0.932354,0.998936,0.999956,122992,730,17117,16636377,140109,123722,4198401,0.033372,0.929007,0.9223,ok
lipidnet,ld,deepcontact_cell,DeepContact-cell,cell_00125,partial,5.0,U2OS1_52.tif,0.355,0.669846,0.503585,0.999562,0.503696,0.669846,0.999464,1.0,9130,4,8996,16759086,18126,9134,4198401,0.004317,0.636364,0.666542,ok
