model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,target_nm,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00018,partial,5.0,202101-B7_19.tif,20.0,0.955,0.0,0.0,nan,0.0,0.0,0.995224,1.0,0,0,80132,16697084,80132,0,4310446,0.01859,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00019,partial,5.0,202101-CB8_19.tif,20.0,2.994,0.875117,0.777962,0.994626,0.781246,0.875117,0.992428,0.999852,445105,2405,124632,16205074,569737,447510,4241268,0.134332,0.913739,0.417548,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00020,partial,5.0,202101-CB8_28.tif,20.0,0.491,0.834308,0.715719,0.99193,0.719912,0.834308,0.98117,0.999587,795346,6471,309437,15665962,1104783,801817,4233000,0.260993,0.906762,0.246357,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00047,partial,5.0,U2OS-1_10.tif,20.0,0.322,0.0,0.0,nan,0.0,0.0,0.999339,1.0,0,0,11092,16766124,11092,0,5522499,0.002009,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00050,partial,5.0,U2OS-1_14.tif,20.0,2.148,0.0,0.0,nan,0.0,0.0,0.999482,1.0,0,0,8691,16768525,8691,0,4184064,0.002077,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00057,full,5.0,U2OS-1_3.tif,20.0,1.12,0.0,0.0,nan,0.0,0.0,0.998834,1.0,0,0,19564,16757652,19564,0,16777216,0.001166,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00058,full,5.0,U2OS-1_3.tif,20.0,0.579,0.0,0.0,nan,0.0,0.0,0.999723,1.0,0,0,4655,16772561,4655,0,16777216,0.000277,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00063,full,5.0,U2OS-1_8.tif,20.0,0.518,0.0,0.0,nan,0.0,0.0,0.999212,1.0,0,0,13216,16764000,13216,0,16777216,0.000788,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00064,full,5.0,U2OS-1_8.tif,20.0,0.509,0.0,0.0,nan,0.0,0.0,0.998341,1.0,0,0,27831,16749385,27831,0,16777216,0.001659,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00065,partial,5.0,U2OS-2_10.tif,20.0,0.203,0.0,0.0,nan,0.0,0.0,0.999266,1.0,0,0,12318,16764898,12318,0,5531904,0.002227,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00069,partial,5.0,U2OS-2_14.tif,20.0,2.393,0.0,0.0,nan,0.0,0.0,0.996294,1.0,0,0,62182,16715034,62182,0,4194304,0.014825,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00072,full,5.0,U2OS-2_3.tif,20.0,0.63,0.0,0.0,nan,0.0,0.0,0.991515,1.0,0,0,142352,16634864,142352,0,16777216,0.008485,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00073,full,5.0,U2OS-2_3.tif,20.0,0.597,0.797078,0.662618,0.987065,0.668421,0.797078,0.986463,0.999637,446047,5845,221267,16104057,667314,451892,16777216,0.039775,0.739929,0.443422,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00074,partial,5.0,U2OS-2_8.tif,20.0,0.31,0.0,0.0,nan,0.0,0.0,0.999539,1.0,0,0,7738,16769478,7738,0,9066120,0.000854,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00075,full,5.0,U2OS-3_1.tif,20.0,0.518,0.0,0.0,0.0,0.0,0.0,0.963326,0.991095,0,145212,470082,16161922,470082,145212,16777216,0.028019,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00076,full,5.0,U2OS-3_1.tif,20.0,0.523,0.0,0.0,0.0,0.0,0.0,0.964627,0.993369,0,108031,485432,16183753,485432,108031,16777216,0.028934,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00078,partial,5.0,U2OS-3_11.tif,20.0,0.105,0.0,0.0,nan,0.0,0.0,0.987519,1.0,0,0,209402,16567814,209402,0,4194304,0.049925,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00080,partial,5.0,U2OS-3_12.tif,20.0,0.118,0.0,0.0,nan,0.0,0.0,0.985449,1.0,0,0,244120,16533096,244120,0,3349335,0.072886,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00082,partial,5.0,U2OS-3_13.tif,20.0,0.123,0.0,0.0,nan,0.0,0.0,0.986777,1.0,0,0,221839,16555377,221839,0,3817125,0.058117,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00083,partial,5.0,U2OS-3_14.tif,20.0,0.121,0.0,0.0,nan,0.0,0.0,0.983822,1.0,0,0,271422,16505794,271422,0,4194304,0.064712,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00084,partial,5.0,U2OS-3_14.tif,20.0,0.151,0.0,0.0,nan,0.0,0.0,0.981374,1.0,0,0,312492,16464724,312492,0,3921112,0.079695,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00085,partial,5.0,U2OS-3_16.tif,20.0,0.567,0.0,0.0,nan,0.0,0.0,0.990408,1.0,0,0,160924,16616292,160924,0,2799272,0.057488,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00086,partial,5.0,U2OS-3_17.tif,20.0,0.167,0.0,0.0,nan,0.0,0.0,0.978218,1.0,0,0,365441,16411775,365441,0,3403000,0.107388,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00087,partial,5.0,U2OS-3_18.tif,20.0,0.182,0.0,0.0,nan,0.0,0.0,0.980138,1.0,0,0,333222,16443994,333222,0,3687872,0.090356,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00088,partial,5.0,U2OS-3_19.tif,20.0,0.188,0.051505,0.026433,0.997827,0.026435,0.051505,0.97278,0.999998,12399,27,456642,16308148,469041,12426,4012000,0.11691,0.090992,0.012462,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00089,full,5.0,U2OS-3_21.tif,20.0,0.632,0.721814,0.564717,0.998258,0.565275,0.721814,0.971573,0.999931,618740,1080,475843,15681553,1094583,619820,16777216,0.065242,0.369833,0.149655,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00090,full,5.0,U2OS-3_21.tif,20.0,0.683,0.727296,0.571458,0.999137,0.57174,0.727296,0.975098,0.99997,557109,481,417301,15802325,974410,557590,16777216,0.058079,0.378316,0.138978,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00093,full,5.0,U2OS-3_3.tif,20.0,0.47,0.0,0.0,0.0,0.0,0.0,0.976718,0.999893,0,1746,388866,16386604,388866,1746,16777216,0.023178,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00094,full,5.0,U2OS-3_3.tif,20.0,0.505,0.0,0.0,nan,0.0,0.0,0.969129,1.0,0,0,517937,16259279,517937,0,16777216,0.030871,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00095,sparse,5.0,U2OS-3_6.tif,20.0,0.106,0.0,0.0,nan,0.0,0.0,0.992351,1.0,0,0,128324,16648892,128324,0,4186116,0.030655,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00097,partial,5.0,U2OS-4_25.tif,20.0,0.399,0.575997,0.404492,0.99579,0.405185,0.575997,0.987693,0.999964,140249,593,205887,16430487,346136,140842,6303744,0.05491,0.623551,0.373144,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00104,partial,5.0,U2OS-4_8.tif,20.0,0.223,0.0,0.0,nan,0.0,0.0,0.992362,1.0,0,0,128144,16649072,128144,0,6300672,0.020338,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00114,partial,5.0,U2OS-7_9.tif,20.0,0.491,0.873269,0.775047,0.969315,0.794541,0.873269,0.985003,0.998251,866870,27442,224162,15658742,1091032,894312,4384380,0.248845,0.907181,0.36578,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00121,partial,5.0,U2OS1-TEM_00_06.jpg,20.0,0.35,0.0,0.0,nan,0.0,0.0,0.992473,1.0,0,0,126289,16650927,126289,0,11850768,0.010657,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00122,partial,5.0,U2OS1_25.tif,20.0,0.107,0.0,0.0,nan,0.0,0.0,0.998772,1.0,0,0,20595,16756621,20595,0,4190205,0.004915,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00123,partial,5.0,U2OS1_43.tif,20.0,0.131,0.0,0.0,nan,0.0,0.0,0.99911,1.0,0,0,14933,16762283,14933,0,4198401,0.003557,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00124,partial,5.0,U2OS1_51.tif,20.0,0.117,0.0,0.0,nan,0.0,0.0,0.991649,1.0,0,0,140109,16637107,140109,0,4198401,0.033372,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00125,partial,5.0,U2OS1_52.tif,20.0,0.152,0.0,0.0,nan,0.0,0.0,0.99892,1.0,0,0,18126,16759090,18126,0,4198401,0.004317,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00126,partial,5.0,U2OS1_53.tif,20.0,0.148,0.0,0.0,nan,0.0,0.0,0.998928,1.0,0,0,17983,16759233,17983,0,4196352,0.004285,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00127,partial,5.0,U2OS1_54.tif,20.0,0.134,0.0,0.0,nan,0.0,0.0,0.983876,1.0,0,0,270521,16506695,270521,0,4198401,0.064434,0.0,0.0,ok
lipidnet_scaled,ld,deepcontact_cell,DeepContact,cell_00128,partial,5.0,..\20201105Training\U2OS3-TEM_22.jpg,20.0,0.419,0.310404,0.183715,0.999872,0.183719,0.310404,0.975174,0.999999,93739,12,416491,16266974,510230,93751,11950656,0.042695,0.209713,0.007274,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00000,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.082,0.0,0.0,nan,0.0,0.0,0.999183,1.0,0,0,13711,16763505,13711,0,2098640,0.006533,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00001,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.078,0.0,0.0,nan,0.0,0.0,0.999326,1.0,0,0,11300,16765916,11300,0,2074960,0.005446,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00002,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.076,0.0,0.0,nan,0.0,0.0,0.999548,1.0,0,0,7587,16769629,7587,0,1983200,0.003826,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00003,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.106,0.0,0.0,nan,0.0,0.0,0.999151,1.0,0,0,14251,16762965,14251,0,1932880,0.007373,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00004,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.499,0.0,0.0,nan,0.0,0.0,0.999032,1.0,0,0,16239,16760977,16239,0,1867760,0.008694,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00005,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.128,0.0,0.0,nan,0.0,0.0,0.999269,1.0,0,0,12267,16764949,12267,0,1850000,0.006631,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00006,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.139,0.0,0.0,nan,0.0,0.0,0.999146,1.0,0,0,14323,16762893,14323,0,1844080,0.007767,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00007,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.115,0.0,0.0,nan,0.0,0.0,0.999698,1.0,0,0,5065,16772151,5065,0,1835200,0.00276,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00008,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.185,0.0,0.0,nan,0.0,0.0,0.998965,1.0,0,0,17368,16759848,17368,0,1778960,0.009763,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00009,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.118,0.0,0.0,nan,0.0,0.0,0.999557,1.0,0,0,7435,16769781,7435,0,1704522,0.004362,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00010,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.111,0.0,0.0,nan,0.0,0.0,0.998953,1.0,0,0,17566,16759650,17566,0,1617404,0.010861,0.0,0.0,ok
lipidnet_scaled,ld,empiar_12885_aive,AIVE,set1_00011,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,20.0,0.133,0.0,0.0,nan,0.0,0.0,0.999409,1.0,0,0,9917,16767299,9917,0,1592480,0.006227,0.0,0.0,ok
