model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,model_type,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
microsam_vit_l_em_organelles,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00000,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_001.tif,vit_l_em_organelles,0.7,0.0,0.0,0.0,0.0,0.0,0.999301,0.999684,0,5295,6429,16765492,6429,5295,196168,0.032773,0.0,0.005942,ok
microsam_vit_l_em_organelles,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00001,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_015.tif,vit_l_em_organelles,0.682,0.003619,0.001813,0.003109,0.004328,0.003619,0.99895,0.999388,32,10261,7361,16759562,7393,10293,269671,0.027415,0.0,0.024617,ok
microsam_vit_l_em_organelles,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00002,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_029.tif,vit_l_em_organelles,0.702,0.000215,0.000107,0.000272,0.000177,0.000215,0.998889,0.999561,2,7363,11277,16758574,11279,7365,298309,0.03781,0.0,0.009782,ok
microsam_vit_l_em_organelles,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00003,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_043.tif,vit_l_em_organelles,0.692,0.006861,0.003442,0.007268,0.006497,0.006861,0.998516,0.999299,86,11746,13151,16752233,13237,11832,443916,0.029819,0.0,0.029802,ok
microsam_vit_l_em_organelles,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00004,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_057.tif,vit_l_em_organelles,0.71,0.003346,0.001676,0.002974,0.003823,0.003346,0.998047,0.9989,55,18439,14330,16744392,14385,18494,513380,0.02802,0.0,0.012723,ok
microsam_vit_l_em_organelles,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00005,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_071.tif,vit_l_em_organelles,0.705,0.003313,0.001659,0.00302,0.003669,0.003313,0.997884,0.998838,59,19480,16020,16741657,16079,19539,647348,0.024838,0.0,0.021404,ok
microsam_vit_l_em_organelles,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00006,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_085.tif,vit_l_em_organelles,0.696,0.000822,0.000411,0.001032,0.000683,0.000822,0.99826,0.999307,12,11619,17565,16748020,17577,11631,718998,0.024447,0.0,0.009121,ok
microsam_vit_l_em_organelles,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00007,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_099.tif,vit_l_em_organelles,0.706,0.000801,0.000401,0.000985,0.000675,0.000801,0.998365,0.999335,11,11153,16284,16749768,16295,11164,815304,0.019986,0.0,0.011844,ok
microsam_vit_l_em_organelles,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00008,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_113.tif,vit_l_em_organelles,0.713,0.001633,0.000817,0.001315,0.002154,0.001633,0.997814,0.998641,30,22777,13897,16740512,13927,22807,917590,0.015178,0.0,0.018912,ok
microsam_vit_l_em_organelles,er,empiar_10994_hela_sbfsem,EMPIAR-10994,160621_00009,sparse,15.19,160621_HeLa_Control/02_processed_dataset/160621_HeLa_R01_127.tif,vit_l_em_organelles,0.701,0.002154,0.001078,0.001634,0.003159,0.002154,0.997736,0.998506,41,25052,12939,16739184,12980,25093,946275,0.013717,0.005234,0.023034,ok
