model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,model_type,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00018,partial,5.0,202101-B7_19.tif,vit_l_em_organelles,3.997,0.0,0.0,0.0,0.0,0.0,0.949239,0.953795,0,771492,80132,15925592,80132,771492,4310446,0.01859,0.0,0.005424,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00019,partial,5.0,202101-CB8_19.tif,vit_l_em_organelles,4.553,6.5e-05,3.3e-05,5e-05,9.3e-05,6.5e-05,0.903104,0.934848,53,1055955,569684,15151524,569737,1056008,4241268,0.134332,0.0,0.011224,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00020,partial,5.0,202101-CB8_28.tif,vit_l_em_organelles,3.604,0.051011,0.026173,0.074953,0.038662,0.051011,0.905275,0.966364,42713,527151,1062070,15145282,1104783,569864,4233000,0.260993,0.093493,0.025615,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00047,partial,5.0,U2OS-1_10.tif,vit_l_em_organelles,5.374,0.0,0.0,0.0,0.0,0.0,0.958189,0.958823,0,690387,11092,16075737,11092,690387,5522499,0.002009,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00050,partial,5.0,U2OS-1_14.tif,vit_l_em_organelles,2.577,0.0,0.0,0.0,0.0,0.0,0.98144,0.981948,0,302699,8691,16465826,8691,302699,4184064,0.002077,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00057,full,5.0,U2OS-1_3.tif,vit_l_em_organelles,10.432,0.0,0.0,0.0,0.0,0.0,0.971212,0.972346,0,463417,19564,16294235,19564,463417,16777216,0.001166,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00058,full,5.0,U2OS-1_3.tif,vit_l_em_organelles,11.517,0.0,0.0,0.0,0.0,0.0,0.96521,0.965478,0,579024,4655,16193537,4655,579024,16777216,0.000277,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00063,full,5.0,U2OS-1_8.tif,vit_l_em_organelles,10.64,0.0,0.0,0.0,0.0,0.0,0.955085,0.955838,0,740337,13216,16023663,13216,740337,16777216,0.000788,0.0,0.0038,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00064,full,5.0,U2OS-1_8.tif,vit_l_em_organelles,11.212,0.000401,0.000201,0.000209,0.004923,0.000401,0.95929,0.960876,137,655308,27694,16094077,27831,655445,16777216,0.001659,0.0,0.0037,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00065,partial,5.0,U2OS-2_10.tif,vit_l_em_organelles,5.653,0.0,0.0,0.0,0.0,0.0,0.968909,0.969621,0,509304,12318,16255594,12318,509304,5531904,0.002227,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00069,partial,5.0,U2OS-2_14.tif,vit_l_em_organelles,2.57,0.0,0.0,0.0,0.0,0.0,0.980968,0.984617,0,257124,62182,16457910,62182,257124,4194304,0.014825,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00072,full,5.0,U2OS-2_3.tif,vit_l_em_organelles,10.653,0.0,0.0,0.0,0.0,0.0,0.898556,0.906246,0,1559592,142352,15075272,142352,1559592,16777216,0.008485,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00073,full,5.0,U2OS-2_3.tif,vit_l_em_organelles,11.123,0.0,0.0,0.0,0.0,0.0,0.907455,0.945045,0,885327,667314,15224575,667314,885327,16777216,0.039775,0.0,0.000498,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00074,partial,5.0,U2OS-2_8.tif,vit_l_em_organelles,5.811,0.0,0.0,0.0,0.0,0.0,0.968846,0.969293,0,514943,7738,16254535,7738,514943,9066120,0.000854,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00075,full,5.0,U2OS-3_1.tif,vit_l_em_organelles,10.717,0.0,0.0,0.0,0.0,0.0,0.908684,0.934878,0,1061951,470082,15245183,470082,1061951,16777216,0.028019,0.0,0.008198,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00076,full,5.0,U2OS-3_1.tif,vit_l_em_organelles,10.817,0.000345,0.000173,0.000261,0.000509,0.000345,0.914697,0.941936,247,945961,485185,15345823,485432,946208,16777216,0.028934,0.0,0.011175,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00078,partial,5.0,U2OS-3_11.tif,vit_l_em_organelles,2.593,0.065279,0.033741,0.054738,0.080849,0.065279,0.971102,0.982354,16930,292362,192472,16275452,209402,309292,4194304,0.049925,0.049251,0.034984,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00080,partial,5.0,U2OS-3_12.tif,vit_l_em_organelles,2.585,0.151547,0.081986,0.119461,0.207197,0.151547,0.966242,0.977449,50581,372830,193539,16160266,244120,423411,3349335,0.072886,0.146829,0.023454,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00082,partial,5.0,U2OS-3_13.tif,vit_l_em_organelles,2.564,0.122136,0.06504,0.089035,0.194416,0.122136,0.963046,0.973345,43129,441276,178710,16114101,221839,484405,3817125,0.058117,0.100918,0.034347,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00083,partial,5.0,U2OS-3_14.tif,vit_l_em_organelles,2.604,0.0,0.0,0.0,0.0,0.0,0.941684,0.957169,0,706962,271422,15798832,271422,706962,4194304,0.064712,0.0,0.000981,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00084,partial,5.0,U2OS-3_14.tif,vit_l_em_organelles,2.63,0.099082,0.052123,0.072513,0.156378,0.099082,0.947032,0.962038,48867,625037,263625,15839687,312492,673904,3921112,0.079695,0.097813,0.043973,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00085,partial,5.0,U2OS-3_16.tif,vit_l_em_organelles,5.124,0.000244,0.000122,0.000185,0.00036,0.000244,0.971711,0.981118,58,313749,160866,16302543,160924,313807,2799272,0.057488,0.0,0.005725,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00086,partial,5.0,U2OS-3_17.tif,vit_l_em_organelles,5.504,0.0,0.0,0.0,0.0,0.0,0.972597,0.994254,0,94297,365441,16317478,365441,94297,3403000,0.107388,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00087,partial,5.0,U2OS-3_18.tif,vit_l_em_organelles,5.409,0.001227,0.000614,0.001131,0.001341,0.001227,0.956641,0.975999,447,394675,332775,16049319,333222,395122,3687872,0.090356,0.0,0.027275,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00088,partial,5.0,U2OS-3_19.tif,vit_l_em_organelles,5.126,0.000726,0.000363,0.000932,0.000595,0.000726,0.95423,0.981657,279,299133,468762,16009042,469041,299412,4012000,0.11691,0.0,0.016809,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00089,full,5.0,U2OS-3_21.tif,vit_l_em_organelles,10.852,0.000199,0.0001,0.000165,0.000252,0.000199,0.835105,0.893374,276,1672175,1094307,14010458,1094583,1672451,16777216,0.065242,0.0,0.027595,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00090,full,5.0,U2OS-3_21.tif,vit_l_em_organelles,10.595,0.000178,8.9e-05,0.000139,0.000247,0.000178,0.838265,0.889938,241,1739286,974169,14063520,974410,1739527,16777216,0.058079,0.0,0.027203,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00093,full,5.0,U2OS-3_3.tif,vit_l_em_organelles,10.716,1.1e-05,5e-06,7e-06,2.6e-05,1.1e-05,0.890468,0.911597,10,1448782,388856,14939568,388866,1448792,16777216,0.023178,0.0,0.005329,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00094,full,5.0,U2OS-3_3.tif,vit_l_em_organelles,10.424,1.1e-05,5e-06,7e-06,2.1e-05,1.1e-05,0.876479,0.904398,11,1554419,517926,14704860,517937,1554430,16777216,0.030871,0.0,0.006892,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00095,sparse,5.0,U2OS-3_6.tif,vit_l_em_organelles,2.59,0.0,0.0,0.0,0.0,0.0,0.956491,0.963864,0,601628,128324,16047264,128324,601628,4186116,0.030655,0.0,0.00145,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00097,partial,5.0,U2OS-4_25.tif,vit_l_em_organelles,5.701,0.0,0.0,0.0,0.0,0.0,0.8948,0.91365,0,1418828,346136,15012252,346136,1418828,6303744,0.05491,0.0,0.012621,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00104,partial,5.0,U2OS-4_8.tif,vit_l_em_organelles,5.53,0.0,0.0,0.0,0.0,0.0,0.937125,0.944338,0,926721,128144,15722351,128144,926721,6300672,0.020338,0.0,0.004084,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00114,partial,5.0,U2OS-7_9.tif,vit_l_em_organelles,3.871,0.0,0.0,0.0,0.0,0.0,0.927039,0.991518,0,133047,1091032,15553137,1091032,133047,4384380,0.248845,0.0,0.00632,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00121,partial,5.0,U2OS1-TEM_00_06.jpg,vit_l_em_organelles,9.783,0.0,0.0,0.0,0.0,0.0,0.936377,0.943479,0,941129,126289,15709798,126289,941129,11850768,0.010657,0.0,0.003574,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00122,partial,5.0,U2OS1_25.tif,vit_l_em_organelles,5.215,0.0,0.0,0.0,0.0,0.0,0.976162,0.977362,0,379342,20595,16377279,20595,379342,4190205,0.004915,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00123,partial,5.0,U2OS1_43.tif,vit_l_em_organelles,5.37,0.0,0.0,0.0,0.0,0.0,0.974509,0.975377,0,412737,14933,16349546,14933,412737,4198401,0.003557,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00124,partial,5.0,U2OS1_51.tif,vit_l_em_organelles,5.127,0.0,0.0,0.0,0.0,0.0,0.953897,0.961931,0,633363,140109,16003744,140109,633363,4198401,0.033372,0.0,0.007537,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00125,partial,5.0,U2OS1_52.tif,vit_l_em_organelles,5.158,0.0,0.0,0.0,0.0,0.0,0.973416,0.974469,0,427880,18126,16331210,18126,427880,4198401,0.004317,0.0,0.001393,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00126,partial,5.0,U2OS1_53.tif,vit_l_em_organelles,5.098,0.0,0.0,0.0,0.0,0.0,0.973424,0.974469,0,427880,17983,16331353,17983,427880,4196352,0.004285,0.0,0.003834,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00127,partial,5.0,U2OS1_54.tif,vit_l_em_organelles,5.518,0.0,0.0,0.0,0.0,0.0,0.955339,0.970996,0,478764,270521,16027931,270521,478764,4198401,0.064434,0.0,0.004727,ok
microsam_vit_l_em_organelles,ld,deepcontact_cell,DeepContact,cell_00128,partial,5.0,..\20201105Training\U2OS3-TEM_22.jpg,vit_l_em_organelles,10.145,0.000212,0.000106,0.00017,0.00028,0.000212,0.919474,0.948305,143,840918,510087,15426068,510230,841061,11950656,0.042695,0.0,0.018853,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00000,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.795,0.0,0.0,0.0,0.0,0.0,0.987515,0.988322,0,195756,13711,16567749,13711,195756,2098640,0.006533,0.0,0.001429,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00001,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.937,0.047503,0.024329,0.024716,0.608761,0.047503,0.983557,0.98381,6879,271446,4421,16494470,11300,278325,2074960,0.005446,0.048658,0.067188,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00002,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.81,0.044384,0.022696,0.022882,0.735732,0.044384,0.985673,0.985786,5582,238364,2005,16531265,7587,243946,1983200,0.003826,0.077731,0.074075,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00003,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.799,0.000759,0.000379,0.000399,0.007508,0.000759,0.983198,0.984028,107,267744,14144,16495221,14251,267851,1932880,0.007373,0.014005,0.009985,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00004,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.795,0.019072,0.009628,0.010095,0.17224,0.019072,0.982851,0.983637,2797,274266,13442,16486711,16239,277063,1867760,0.008694,0.048193,0.035768,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00005,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.776,0.025481,0.012905,0.013405,0.257031,0.025481,0.985625,0.986158,3153,232062,9114,16532887,12267,235215,1850000,0.006631,0.022759,0.029568,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00006,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.819,0.0,0.0,0.0,0.0,0.0,0.986386,0.987229,0,214087,14323,16548806,14323,214087,1844080,0.007767,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00007,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.769,0.0,0.0,0.0,0.0,0.0,0.983847,0.984144,0,265942,5065,16506209,5065,265942,1835200,0.00276,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00008,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,2.256,0.043858,0.022421,0.023746,0.286561,0.043858,0.987066,0.987791,4977,204613,12391,16555235,17368,209590,1778960,0.009763,0.035654,0.055439,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00009,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,2.06,0.01886,0.00952,0.009858,0.216947,0.01886,0.989997,0.99034,1613,162004,5822,16607777,7435,163617,1704522,0.004362,0.012789,0.025298,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00010,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.801,0.028821,0.014621,0.016632,0.107879,0.028821,0.992388,0.993315,1895,112041,15671,16647609,17566,113936,1617404,0.010861,0.04473,0.03255,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00011,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.783,0.112544,0.059628,0.060567,0.793587,0.112544,0.992602,0.99272,7870,122069,2047,16645230,9917,129939,1592480,0.006227,0.044947,0.116653,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00012,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.772,0.000136,6.8e-05,7.5e-05,0.000774,0.000136,0.993003,0.993615,8,107056,10333,16659819,10341,107064,1536240,0.006731,0.0,0.007444,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00013,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.785,0.141544,0.076162,0.084118,0.446076,0.141544,0.996815,0.99714,4405,47962,5470,16719379,9875,52367,1431756,0.006897,0.069749,0.099535,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00014,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,2.007,0.094427,0.049553,0.088581,0.101099,0.094427,0.998485,0.999187,1325,13633,11781,16750477,13106,14958,1316310,0.009957,0.123457,0.174564,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00016,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.781,0.0,0.0,0.0,0.0,0.0,0.999568,0.999644,0,5970,1275,16769971,1275,5970,1074480,0.001187,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set1_00017,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,vit_l_em_organelles,1.766,0.0,0.0,0.0,0.0,0.0,0.999051,0.999281,0,12059,3858,16761299,3858,12059,976800,0.00395,0.0,0.0,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set2_00020,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,vit_l_em_organelles,1.803,0.042954,0.021949,0.022307,0.576968,0.042954,0.989408,0.989578,3988,174786,2924,16595518,6912,178774,2053930,0.003365,0.022936,0.005755,ok
microsam_vit_l_em_organelles,ld,empiar_12885_aive,AIVE,set2_00021,sparse,6.5104,Set2_-_AIVE_SOURCE_DATA/Dataset2_overview.tif,vit_l_em_organelles,1.795,0.0,0.0,0.0,0.0,0.0,0.991986,0.992316,0,128865,5584,16642767,5584,128865,2100810,0.002658,0.0,0.0,ok
