model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,model_type,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status,inst_n_pred,inst_n_gt,inst_precision@0.5,inst_recall@0.5,inst_f1@0.5,inst_ap@0.5,inst_precision@0.75,inst_recall@0.75,inst_f1@0.75,inst_ap@0.75,inst_pq,inst_sq,inst_rq
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00000,sparse,4.68,20180115_B1_1_10.jpg,vit_l_em_organelles,0.983,0.574051,0.402575,0.581399,0.566886,0.574051,0.997682,0.998872,26206,18868,20022,16712120,46228,45074,1238472,0.037327,0.643832,0.485321,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00001,sparse,4.68,20180115_B1_1_19.jpg,vit_l_em_organelles,0.603,0.636712,0.467042,0.68572,0.594243,0.636712,0.997421,0.99896,37921,17380,25893,16696022,63814,55301,1270392,0.050232,0.698171,0.567312,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00002,sparse,4.68,20180115_B1_1_20.jpg,vit_l_em_organelles,0.6,0.585486,0.413913,0.606612,0.565782,0.585486,0.998874,0.999484,13340,8651,10238,16744987,23578,21991,530910,0.044411,0.721523,0.263258,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00003,sparse,4.68,20180115_B1_1_28.jpg,vit_l_em_organelles,0.931,0.654632,0.486582,0.785545,0.56112,0.654632,0.996601,0.999115,54051,14756,42276,16666133,96327,68807,896660,0.107429,0.735653,0.210391,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00004,sparse,4.68,20180115_B1_1_30.jpg,vit_l_em_organelles,0.619,0.776216,0.634275,0.882909,0.692529,0.776216,0.996967,0.999297,88260,11705,39186,16638065,127446,99965,1226745,0.10389,0.8517,0.688919,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00005,sparse,4.68,20180115_B1_1_32.jpg,vit_l_em_organelles,0.851,0.373908,0.229942,0.528493,0.28929,0.373908,0.996507,0.999066,17500,15613,42993,16701110,60493,33113,816384,0.074099,0.400563,0.373957,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00006,sparse,4.68,20180115_B7_1_09.jpg,vit_l_em_organelles,0.601,0.829796,0.709104,0.945545,0.739295,0.829796,0.99815,0.999739,75672,4358,26685,16670501,102357,80030,1282930,0.079784,0.85372,0.639076,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00007,sparse,4.68,20180115_B7_1_10.jpg,vit_l_em_organelles,0.605,0.668489,0.502053,0.55429,0.841954,0.668489,0.99773,0.998155,38399,30877,7208,16700732,45607,69276,1048092,0.043514,0.627813,0.257085,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00008,sparse,4.68,20180115_B7_1_11.jpg,vit_l_em_organelles,0.618,0.688034,0.52443,0.89805,0.557628,0.688034,0.996883,0.999607,57671,6547,45751,16667247,103422,64218,1226880,0.084297,0.764267,0.568969,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00009,sparse,4.68,20180115_B7_1_15.jpg,vit_l_em_organelles,0.613,0.436941,0.279543,0.536522,0.368539,0.436941,0.997571,0.999184,15814,13661,27096,16720645,42910,29475,892314,0.048088,0.412855,0.170234,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00010,sparse,4.68,20180115_B7_1_25.jpg,vit_l_em_organelles,0.616,0.522076,0.35325,0.384776,0.811727,0.522076,0.997722,0.998007,20876,33379,4842,16718119,25718,54255,1014930,0.02534,0.256379,0.119487,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00011,sparse,4.68,20180115_B7_1_30.jpg,vit_l_em_organelles,0.609,0.428053,0.272308,0.293217,0.792469,0.428053,0.998807,0.998923,7492,18059,1962,16749703,9454,25551,1268552,0.007453,0.329897,0.109135,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,deepcontact_tem,DeepContact,tem_00012,sparse,4.68,20180115_B7_1_31.jpg,vit_l_em_organelles,0.597,0.449537,0.289937,0.567155,0.372323,0.449537,0.99599,0.998745,27473,20967,46315,16682461,73788,48440,879472,0.0839,0.447997,0.057643,ok,,,,,,,,,,,,,
