model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,model_type,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status,inst_n_pred,inst_n_gt,inst_precision@0.5,inst_recall@0.5,inst_f1@0.5,inst_ap@0.5,inst_precision@0.75,inst_recall@0.75,inst_f1@0.75,inst_ap@0.75,inst_pq,inst_sq,inst_rq
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00210,partial,7.41,image/A_165.tif,vit_l_em_organelles,10.562,0.0,0.0,0.0,0.0,0.0,0.85901,0.988914,0,161564,2203860,14411792,2203860,161564,13223620,0.166661,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00211,partial,7.41,image/A_165.tif,vit_l_em_organelles,9.971,0.0,0.0,0.0,0.0,0.0,0.879303,0.987752,0,182933,1842033,14752250,1842033,182933,13210700,0.139435,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00294,partial,3.7,image/A_207.tif,vit_l_em_organelles,10.381,0.0,0.0,0.0,0.0,0.0,0.953288,0.998322,0,26878,756814,15993524,756814,26878,13230080,0.057204,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00295,partial,3.7,image/A_207.tif,vit_l_em_organelles,9.946,0.0,0.0,0.0,0.0,0.0,0.935788,0.979995,0,320483,756814,15699919,756814,320483,12202940,0.062019,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00309,partial,5.29,image/A_214.tif,vit_l_em_organelles,9.925,0.0,0.0,0.0,0.0,0.0,0.956763,0.988519,0,186438,538962,16051816,538962,186438,13223620,0.040758,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00326,partial,12.34,image/A_223.tif,vit_l_em_organelles,11.0,0.0,0.0,0.0,0.0,0.0,0.92513,0.965015,0,562692,693424,15521100,693424,562692,13230080,0.052413,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00327,partial,12.34,image/A_223.tif,vit_l_em_organelles,10.391,0.0,0.0,0.0,0.0,0.0,0.91096,0.950235,0,800415,693424,15283377,693424,800415,13226850,0.052425,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00346,partial,14.81,image/A_233.tif,vit_l_em_organelles,9.989,0.0,0.0,0.0,0.0,0.0,0.972889,0.981083,0,314720,140122,16322374,140122,314720,13230080,0.010591,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00347,partial,14.81,image/A_233.tif,vit_l_em_organelles,10.633,0.0,0.0,0.0,0.0,0.0,0.972683,0.980875,0,318182,140122,16318912,140122,318182,13230080,0.010591,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00356,partial,24.68,image/A_238.tif,vit_l_em_organelles,10.202,0.0,0.0,0.0,0.0,0.0,0.978372,0.989171,0,179695,183161,16414360,183161,179695,13226850,0.013848,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00357,partial,24.68,image/A_238.tif,vit_l_em_organelles,9.982,0.0,0.0,0.0,0.0,0.0,0.98157,0.992404,0,126047,183161,16468008,183161,126047,13230080,0.013844,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00396,partial,4.63,image/A_258.tif,vit_l_em_organelles,11.089,0.0,0.0,0.0,0.0,0.0,0.89391,0.928305,0,1158267,621629,14997320,621629,1158267,13230080,0.046986,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00397,partial,4.63,image/A_258.tif,vit_l_em_organelles,10.124,0.0,0.0,0.0,0.0,0.0,0.823283,0.920199,0,1197839,1766973,13812404,1766973,1197839,13217160,0.133688,0.0,0.0,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00564,partial,18.51,image/C076.tif,vit_l_em_organelles,10.643,0.000243,0.000121,0.000241,0.000245,0.000243,0.91997,0.95801,163,676496,666183,15434374,666346,676659,13230080,0.050366,0.0,0.008718,ok,,,,,,,,,,,,,
microsam_vit_l_em_organelles,nucleus,orgsegnet_plant,PlantHunter,te_00565,partial,18.51,image/C076.tif,vit_l_em_organelles,10.205,0.00012,6e-05,0.000256,7.8e-05,0.00012,0.825124,0.95269,176,687436,2246489,13843115,2246665,687612,13230080,0.169815,0.0,0.010916,ok,,,,,,,,,,,,,
