model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status,inst_n_pred,inst_n_gt,inst_precision@0.5,inst_recall@0.5,inst_f1@0.5,inst_ap@0.5,inst_precision@0.75,inst_recall@0.75,inst_f1@0.75,inst_ap@0.75,inst_pq,inst_sq,inst_rq
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00000,sparse,4.68,20180115_B1_1_10.jpg,1.146,0.610267,0.439125,0.541011,0.699857,0.610267,0.997537,0.998359,32353,27448,13875,16703540,46228,59801,1238472,0.037327,0.620997,0.55884,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00001,sparse,4.68,20180115_B1_1_19.jpg,3.359,0.610743,0.439618,0.660513,0.567947,0.610743,0.997246,0.998885,36243,18628,27571,16694774,63814,54871,1270392,0.050232,0.67134,0.606484,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00002,sparse,4.68,20180115_B1_1_20.jpg,0.489,0.462032,0.300417,0.466212,0.457927,0.462032,0.998501,0.999262,10797,12362,12781,16741276,23578,23159,530910,0.044411,0.418878,0.40436,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00003,sparse,4.68,20180115_B1_1_28.jpg,0.204,0.584393,0.412822,0.740495,0.482648,0.584393,0.996058,0.999023,46492,16293,49835,16664596,96327,62785,896660,0.107429,0.67295,0.578821,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00004,sparse,4.68,20180115_B1_1_30.jpg,0.241,0.676379,0.511007,0.855335,0.559351,0.676379,0.995934,0.999276,71287,12057,56159,16637713,127446,83344,1226745,0.10389,0.731244,0.670744,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00005,sparse,4.68,20180115_B1_1_32.jpg,0.21,0.417495,0.263819,0.533611,0.342883,0.417495,0.99655,0.998916,20742,18129,39751,16698594,60493,38871,816384,0.074099,0.471146,0.447955,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00006,sparse,4.68,20180115_B7_1_09.jpg,0.186,0.627839,0.457555,0.842187,0.500464,0.627839,0.99638,0.999424,51226,9599,51131,16665260,102357,60825,1282930,0.079784,0.628981,0.567563,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00007,sparse,4.68,20180115_B7_1_10.jpg,0.164,0.422076,0.267488,0.404907,0.440766,0.422076,0.996719,0.998234,20102,29544,25505,16702065,45607,49646,1048092,0.043514,0.461733,0.401606,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00008,sparse,4.68,20180115_B7_1_11.jpg,0.185,0.643616,0.474509,0.839671,0.521785,0.643616,0.996438,0.999382,53964,10304,49458,16663490,103422,64268,1226880,0.084297,0.683895,0.580435,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00009,sparse,4.68,20180115_B7_1_15.jpg,0.183,0.401073,0.250838,0.482086,0.34337,0.401073,0.997377,0.999054,14734,15829,28176,16718477,42910,30563,892314,0.048088,0.407895,0.250134,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00010,sparse,4.68,20180115_B7_1_25.jpg,0.227,0.394103,0.24541,0.279895,0.665759,0.394103,0.996862,0.99737,17122,44051,8596,16707447,25718,61173,1014930,0.02534,0.316901,0.21599,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00011,sparse,4.68,20180115_B7_1_30.jpg,0.18,0.059689,0.030763,0.040519,0.113285,0.059689,0.997989,0.998488,1071,25361,8383,16742401,9454,26432,1268552,0.007453,0.085147,0.052691,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00012,sparse,4.68,20180115_B7_1_31.jpg,0.197,0.331496,0.198678,0.429979,0.269719,0.331496,0.995216,0.99842,19902,26384,53886,16677044,73788,46286,879472,0.0839,0.352899,0.172077,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00013,sparse,4.68,20180115_B7_1_40.jpg,0.37,0.645648,0.476721,0.753986,0.564533,0.645648,0.998035,0.999414,30032,9799,23166,16714219,53198,39831,1223712,0.043473,0.539169,0.52496,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00014,sparse,4.68,20180115_B7_1_41.jpg,0.177,0.467678,0.305208,0.474824,0.460743,0.467678,0.996083,0.99809,28866,31927,33785,16682638,62651,60793,938616,0.066748,0.400725,0.434079,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00015,sparse,4.68,20180115_B9_2_setted_01.jpg,0.193,0.346234,0.209361,0.478424,0.271279,0.346234,0.997075,0.999153,12994,14166,34905,16715151,47899,27160,844497,0.056719,0.410802,0.145895,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00016,sparse,4.68,20180115_B9_2_setted_02.jpg,0.156,0.315345,0.187186,0.382404,0.268295,0.315345,0.997393,0.999028,10071,16265,27466,16723414,37537,26336,707350,0.053067,0.321371,0.338839,ok,,,,,,,,,,,,,
mitonet,mito,deepcontact_tem,DeepContact-TEM,tem_00017,sparse,4.68,20180115_B9_2_setted_03.jpg,0.179,0.470025,0.307211,0.46508,0.475075,0.470025,0.996782,0.998354,23940,27535,26452,16699289,50392,51475,1050594,0.047965,0.391317,0.438624,ok,,,,,,,,,,,,,
