model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,target_nm,force_scale,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,inst_n_pred,inst_n_gt,inst_precision@0.5,inst_recall@0.5,inst_f1@0.5,inst_ap@0.5,inst_precision@0.75,inst_recall@0.75,inst_f1@0.75,inst_ap@0.75,inst_pq,inst_sq,inst_rq,status
mitonet_scaled,mito,empiar_10982_mitonet_benchmark,MitoNet,c_el_00000,sparse,24.0,mito_benchmarks/c_elegans/c_elegans_em.tif,12.0,,1.524,0.608593,0.437394,0.720572,0.526736,0.608593,0.999803,0.999941,2571,997,2310,16771338,4881,3568,64770,0.075359,0.6978,0.643794,23,26,0.391304,0.346154,0.367347,0.225,0.26087,0.230769,0.244898,0.139535,0.278379,0.75781,0.367347,ok
mitonet_scaled,mito,empiar_10982_mitonet_benchmark,MitoNet,c_el_00001,sparse,24.0,mito_benchmarks/c_elegans/c_elegans_em.tif,12.0,,3.226,0.814865,0.687571,0.886097,0.754233,0.814865,0.999885,0.999968,4232,544,1379,16771061,5611,4776,56925,0.098568,0.84486,0.871185,32,31,0.53125,0.548387,0.539683,0.369565,0.25,0.258065,0.253968,0.145455,0.387038,0.717159,0.539683,ok
mitonet_scaled,mito,empiar_10982_mitonet_benchmark,MitoNet,c_el_00002,sparse,24.0,mito_benchmarks/c_elegans/c_elegans_em.tif,12.0,,0.145,0.686186,0.522285,0.680665,0.691796,0.686186,0.999864,0.99993,2496,1171,1112,16772437,3608,3667,57088,0.063201,0.741308,0.718204,24,22,0.458333,0.5,0.478261,0.314286,0.291667,0.318182,0.304348,0.179487,0.348519,0.728722,0.478261,ok
mitonet_scaled,mito,empiar_10982_mitonet_benchmark,MitoNet,c_el_00003,sparse,24.0,mito_benchmarks/c_elegans/c_elegans_em.tif,12.0,,0.12,0.701983,0.540811,0.944954,0.558403,0.701983,0.999885,0.999992,2266,132,1792,16773026,4058,2398,55296,0.073387,0.734888,0.727166,16,18,0.5625,0.5,0.529412,0.36,0.25,0.222222,0.235294,0.133333,0.375154,0.708624,0.529412,ok
mitonet_scaled,mito,empiar_10982_mitonet_benchmark,MitoNet,c_el_00004,sparse,24.0,mito_benchmarks/c_elegans/c_elegans_em.tif,12.0,,0.13,0.769709,0.625631,0.838764,0.711159,0.769709,0.999929,0.999977,1982,381,805,16774048,2787,2363,46420,0.060039,0.830362,0.811247,14,12,0.428571,0.5,0.461538,0.3,0.214286,0.25,0.230769,0.130435,0.350261,0.758898,0.461538,ok
mitonet_scaled,mito,empiar_10982_mitonet_benchmark,MitoNet,c_el_00005,sparse,24.0,mito_benchmarks/c_elegans/c_elegans_em.tif,12.0,,0.128,0.637592,0.467989,0.878916,0.500241,0.637592,0.99993,0.999991,1038,143,1037,16774998,2075,1181,45198,0.045909,0.829161,0.662766,8,10,0.5,0.4,0.444444,0.285714,0.5,0.4,0.444444,0.285714,0.365564,0.822519,0.444444,ok
mitonet_scaled,mito,empiar_10982_mitonet_benchmark,MitoNet,c_el_00006,sparse,24.0,mito_benchmarks/c_elegans/c_elegans_em.tif,12.0,,0.118,0.716095,0.557747,1.0,0.557747,0.716095,0.999917,1.0,1753,0,1390,16774073,3143,1753,38208,0.08226,0.839117,0.685611,8,17,0.625,0.294118,0.4,0.25,0.25,0.117647,0.16,0.086957,0.286517,0.716292,0.4,ok
mitonet_scaled,mito,empiar_10982_mitonet_benchmark,MitoNet,c_el_00007,sparse,24.0,mito_benchmarks/c_elegans/c_elegans_em.tif,12.0,,0.072,0.734853,0.580844,0.896879,0.622411,0.734853,0.999943,0.999991,1322,152,802,16774940,2124,1474,65536,0.03241,0.702736,0.736317,13,15,0.615385,0.533333,0.571429,0.4,0.307692,0.266667,0.285714,0.166667,0.440657,0.77115,0.571429,ok
mitonet_scaled,mito,empiar_10982_mitonet_benchmark,MitoNet,c_el_00008,sparse,24.0,mito_benchmarks/c_elegans/c_elegans_em.tif,12.0,,0.133,0.640766,0.471417,0.936236,0.487055,0.640766,0.999879,0.999993,1806,123,1902,16773385,3708,1929,62720,0.05912,0.783034,0.64724,13,20,0.615385,0.4,0.484848,0.32,0.230769,0.15,0.181818,0.1,0.352049,0.7261,0.484848,ok
mitonet_scaled,mito,empiar_10982_mitonet_benchmark,MitoNet,c_el_00009,sparse,24.0,mito_benchmarks/c_elegans/c_elegans_em.tif,12.0,,0.134,0.733445,0.579087,0.865704,0.636243,0.733445,0.999896,0.999978,2398,372,1371,16773075,3769,2770,59648,0.063187,0.755521,0.75178,16,22,0.6875,0.5,0.578947,0.407407,0.4375,0.318182,0.368421,0.225806,0.441106,0.76191,0.578947,ok
