model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status,inst_n_pred,inst_n_gt,inst_precision@0.5,inst_recall@0.5,inst_f1@0.5,inst_ap@0.5,inst_precision@0.75,inst_recall@0.75,inst_f1@0.75,inst_ap@0.75,inst_pq,inst_sq,inst_rq
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00210,partial,7.41,image/A_165.tif,12.474,0.658246,0.490587,0.497884,0.970991,0.658246,0.867556,0.851914,2139928,2158117,63932,12415239,2203860,4298045,13223620,0.166661,0.240462,0.04935,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00211,partial,7.41,image/A_165.tif,16.135,0.589812,0.418251,0.423299,0.972278,0.589812,0.85152,0.836627,1790968,2440009,51065,12495174,1842033,4230977,13210700,0.139435,0.235949,0.06574,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00294,partial,3.7,image/A_207.tif,22.447,0.241124,0.13709,0.141176,0.825685,0.241124,0.765554,0.762713,624890,3801430,131924,12218972,756814,4426320,13230080,0.057204,0.098152,0.074901,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00295,partial,3.7,image/A_207.tif,23.315,0.24281,0.138181,0.142501,0.82006,0.24281,0.769281,0.766882,620633,3734646,136181,12285756,756814,4355279,12202940,0.062019,0.096233,0.078742,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00309,partial,5.29,image/A_214.tif,4.872,0.473915,0.310543,0.50535,0.446161,0.473915,0.968179,0.985505,240464,235373,298498,16002881,538962,475837,13223620,0.040758,0.471781,0.135737,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00326,partial,12.34,image/A_223.tif,8.865,0.386863,0.239821,0.25742,0.778159,0.386863,0.898052,0.903221,539594,1556567,153830,14527225,693424,2096161,13230080,0.052413,0.20696,0.013645,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00327,partial,12.34,image/A_223.tif,7.638,0.452999,0.292824,0.325334,0.74557,0.452999,0.92558,0.933341,516996,1072130,176428,15011662,693424,1589126,13226850,0.052425,0.273122,0.0188,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00346,partial,14.81,image/A_233.tif,2.296,0.347539,0.210316,0.217701,0.8611,0.347539,0.972996,0.973939,120659,433582,19463,16203512,140122,554241,13230080,0.010591,0.165049,0.047506,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00347,partial,14.81,image/A_233.tif,2.49,0.370505,0.227374,0.235534,0.86778,0.370505,0.975372,0.976278,121595,394657,18527,16242437,140122,516252,13230080,0.010591,0.163774,0.051124,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00356,partial,24.68,image/A_238.tif,1.27,0.671122,0.505029,0.576643,0.802627,0.671122,0.991412,0.993496,147010,107931,36151,16486124,183161,254941,13226850,0.013848,0.468314,0.085615,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00357,partial,24.68,image/A_238.tif,1.445,0.720198,0.562742,0.651917,0.804456,0.720198,0.993176,0.995259,147345,78673,35816,16515382,183161,226018,13230080,0.013844,0.437782,0.087508,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00396,partial,4.63,image/A_258.tif,4.095,0.174242,0.095435,0.168379,0.180527,0.174242,0.936601,0.965693,112221,554256,509408,15601331,621629,666477,13230080,0.046986,0.338305,0.0074,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00397,partial,4.63,image/A_258.tif,5.777,0.222371,0.125094,0.340661,0.165057,0.222371,0.878418,0.962394,291651,564482,1475322,14445761,1766973,856133,13217160,0.133688,0.329122,0.007706,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00564,partial,18.51,image/C076.tif,2.166,0.944774,0.895328,0.952518,0.937154,0.944774,0.995649,0.998068,624469,31129,41877,16079741,666346,655598,13230080,0.050366,0.900166,0.509145,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00565,partial,18.51,image/C076.tif,3.562,0.977881,0.956719,0.990563,0.965519,0.977881,0.994151,0.998578,2169198,20666,77467,14509885,2246665,2189864,13230080,0.169815,0.938491,0.533442,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00630,partial,12.34,image/C171.tif,6.269,0.53811,0.368092,0.409876,0.783117,0.53811,0.928661,0.936817,697183,1003778,193084,14883171,890267,1700961,13225984,0.067312,0.455871,0.011259,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00631,partial,12.34,image/C171.tif,6.24,0.556241,0.385272,0.432744,0.778374,0.556241,0.934097,0.942824,692961,908359,197306,14978590,890267,1601320,13226850,0.067308,0.459614,0.008266,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00646,partial,3.7,image/C179.tif,38.72,0.549061,0.378418,0.38297,0.969548,0.549061,0.66032,0.576482,3469471,5589919,108969,7608857,3578440,9059390,10821632,0.330675,0.192462,0.152565,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00647,partial,3.7,image/C179.tif,39.329,0.483938,0.319207,0.323771,0.95771,0.483938,0.657742,0.597362,2692347,5623241,118888,8342740,2811235,8315588,11725216,0.23976,0.150144,0.12873,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00662,partial,14.81,image/C187.tif,3.212,0.541128,0.370923,0.378274,0.950216,0.541128,0.951891,0.951943,475910,782200,24934,15494172,500844,1258110,13230080,0.037856,0.090959,0.094665,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00663,partial,14.81,image/C187.tif,4.211,0.453587,0.293315,0.297644,0.95276,0.453587,0.931474,0.930819,477184,1126020,23660,15150352,500844,1603204,13226850,0.037866,0.074294,0.087523,ok,,,,,,,,,,,,,
nucleonet,nucleus,orgsegnet_plant,PlantHunter,te_00686,partial,3.09,image/C199.tif,55.859,0.099672,0.05245,0.05245,0.99983,0.099672,0.286092,0.256722,662984,11977270,113,4136849,663097,12640254,13223620,0.050145,0.012466,0.125217,ok,,,,,,,,,,,,,
