model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,target_nm,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status,inst_n_pred,inst_n_gt,inst_precision@0.5,inst_recall@0.5,inst_f1@0.5,inst_ap@0.5,inst_precision@0.75,inst_recall@0.75,inst_f1@0.75,inst_ap@0.75,inst_pq,inst_sq,inst_rq
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00210,partial,7.41,image/A_165.tif,20.0,2.877,0.901335,0.820391,0.863099,0.943115,0.901335,0.972877,0.977378,2078494,329681,125366,14243675,2203860,2408175,13223620,0.166661,0.556166,0.121365,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00211,partial,7.41,image/A_165.tif,20.0,5.389,0.833584,0.714654,0.747402,0.942232,0.833584,0.958694,0.960725,1735623,586586,106410,14348597,1842033,2322209,13210700,0.139435,0.387925,0.186607,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00294,partial,3.7,image/A_207.tif,20.0,0.687,0.931974,0.872614,0.987834,0.882094,0.931974,0.994191,0.999487,667581,8222,89233,16012180,756814,675803,13230080,0.057204,0.974974,0.51829,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00295,partial,3.7,image/A_207.tif,20.0,2.456,0.933578,0.875431,0.987514,0.885229,0.933578,0.994318,0.999471,669954,8471,86860,16011931,756814,678425,12202940,0.062019,0.980893,0.523067,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00309,partial,5.29,image/A_214.tif,20.0,0.494,0.829766,0.709059,0.804785,0.856346,0.829766,0.988712,0.993106,461538,111954,77424,16126300,538962,573492,13223620,0.040758,0.708911,0.381775,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00326,partial,12.34,image/A_223.tif,20.0,0.661,0.546429,0.375922,0.39106,0.906639,0.546429,0.937791,0.939134,628685,978959,64739,15104833,693424,1607644,13230080,0.052413,0.153097,0.055371,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00327,partial,12.34,image/A_223.tif,20.0,0.672,0.579884,0.408336,0.425443,0.910358,0.579884,0.945481,0.946995,631264,852518,62160,15231274,693424,1483782,13226850,0.052425,0.24979,0.056247,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00346,partial,14.81,image/A_233.tif,20.0,2.69,0.347539,0.210316,0.217701,0.8611,0.347539,0.972996,0.973939,120659,433582,19463,16203512,140122,554241,13230080,0.010591,0.165049,0.047506,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00347,partial,14.81,image/A_233.tif,20.0,4.386,0.370505,0.227374,0.235534,0.86778,0.370505,0.975372,0.976278,121595,394657,18527,16242437,140122,516252,13230080,0.010591,0.163774,0.051124,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00356,partial,24.68,image/A_238.tif,20.0,1.34,0.671122,0.505029,0.576643,0.802627,0.671122,0.991412,0.993496,147010,107931,36151,16486124,183161,254941,13226850,0.013848,0.468314,0.085615,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00357,partial,24.68,image/A_238.tif,20.0,1.226,0.720198,0.562742,0.651917,0.804456,0.720198,0.993176,0.995259,147345,78673,35816,16515382,183161,226018,13230080,0.013844,0.437782,0.087508,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00396,partial,4.63,image/A_258.tif,20.0,0.84,0.42406,0.269084,0.280014,0.873317,0.42406,0.912105,0.913598,542879,1395881,78750,14759706,621629,1938760,13230080,0.046986,0.308232,0.244266,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00397,partial,4.63,image/A_258.tif,20.0,0.681,0.683506,0.519186,0.539578,0.932148,0.683506,0.909082,0.906367,1647080,1405453,119893,13604790,1766973,3052533,13217160,0.133688,0.355574,0.285815,ok,,,,,,,,,,,,,
nucleonet_scaled,nucleus,orgsegnet_plant,PlantHunter,te_00564,partial,18.51,image/C076.tif,20.0,1.752,0.944774,0.895328,0.952518,0.937154,0.944774,0.995649,0.998068,624469,31129,41877,16079741,666346,655598,13230080,0.050366,0.900166,0.509145,ok,,,,,,,,,,,,,
