model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
orgsegnet,mito,deepcontact_tem,DeepContact,tem_00000,sparse,4.68,20180115_B1_1_10.jpg,2.789,0.555058,0.384138,0.583411,0.529333,0.555058,0.997662,0.998956,24470,17473,21758,16713515,46228,41943,1238472,0.037327,nan,0.428685,ok
orgsegnet,mito,deepcontact_tem,DeepContact,tem_00001,sparse,4.68,20180115_B1_1_19.jpg,0.143,0.503357,0.336324,0.761312,0.375968,0.503357,0.997178,0.99955,23992,7522,39822,16705880,63814,31514,1270392,0.050232,nan,0.403419,ok
orgsegnet,mito,deepcontact_tem,DeepContact,tem_00002,sparse,4.68,20180115_B1_1_20.jpg,0.135,0.478034,0.31409,0.56301,0.415345,0.478034,0.998725,0.999546,9793,7601,13785,16746037,23578,17394,530910,0.044411,nan,0.29445,ok
orgsegnet,mito,deepcontact_tem,DeepContact,tem_00003,sparse,4.68,20180115_B1_1_28.jpg,0.126,0.590618,0.419062,0.849363,0.452708,0.590618,0.996397,0.999536,43608,7734,52719,16673155,96327,51342,896660,0.107429,nan,0.488209,ok
orgsegnet,mito,deepcontact_tem,DeepContact,tem_00004,sparse,4.68,20180115_B1_1_30.jpg,0.125,0.581759,0.410197,0.8557,0.440681,0.581759,0.995187,0.999431,56163,9471,71283,16640299,127446,65634,1226745,0.10389,nan,0.399009,ok
orgsegnet,mito,deepcontact_tem,DeepContact,tem_00005,sparse,4.68,20180115_B1_1_32.jpg,0.137,0.29672,0.174205,0.589943,0.198205,0.29672,0.996612,0.999501,11990,8334,48503,16708389,60493,20324,816384,0.074099,nan,0.135311,ok
orgsegnet,mito,deepcontact_tem,DeepContact,tem_00006,sparse,4.68,20180115_B7_1_09.jpg,0.127,0.692039,0.529097,0.768109,0.629678,0.692039,0.996581,0.998833,64452,19458,37905,16655401,102357,83910,1282930,0.079784,nan,0.569511,ok
orgsegnet,mito,deepcontact_tem,DeepContact,tem_00007,sparse,4.68,20180115_B7_1_10.jpg,0.125,0.555709,0.384762,0.558235,0.553205,0.555709,0.997595,0.998807,25230,19966,20377,16711643,45607,45196,1048092,0.043514,nan,0.348666,ok
orgsegnet,mito,deepcontact_tem,DeepContact,tem_00008,sparse,4.68,20180115_B7_1_11.jpg,0.133,0.505719,0.338436,0.762392,0.378343,0.505719,0.995441,0.999269,39129,12195,64293,16661599,103422,51324,1226880,0.084297,nan,0.361562,ok
orgsegnet,mito,deepcontact_tem,DeepContact,tem_00009,sparse,4.68,20180115_B7_1_15.jpg,0.125,0.567969,0.396618,0.839703,0.429107,0.567969,0.99833,0.99979,18413,3515,24497,16730791,42910,21928,892314,0.048088,nan,0.227088,ok
