model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00210,partial,7.41,image/A_165.tif,2.858,0.984338,0.969158,0.990254,0.978491,0.984338,0.99591,0.998544,2156458,21223,47402,14552133,2203860,2177681,13223620,0.166661,nan,0.353924,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00211,partial,7.41,image/A_165.tif,0.475,0.987716,0.975729,0.990543,0.984904,0.987716,0.99731,0.99884,1814226,17321,27807,14917862,1842033,1831547,13210700,0.139435,nan,0.413499,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00294,partial,3.7,image/A_207.tif,0.487,0.979904,0.9606,0.970413,0.989583,0.979904,0.998169,0.998575,748930,22834,7884,15997568,756814,771764,13230080,0.057204,nan,0.731079,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00295,partial,3.7,image/A_207.tif,0.457,0.975257,0.951709,0.956944,0.994285,0.975257,0.997724,0.997887,752489,33857,4325,15986545,756814,786346,12202940,0.062019,nan,0.685419,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00309,partial,5.29,image/A_214.tif,0.508,0.95717,0.917859,0.964368,0.95008,0.95717,0.997269,0.998835,512057,18920,26905,16219334,538962,530977,13223620,0.040758,nan,0.387734,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00326,partial,12.34,image/A_223.tif,0.5,0.968176,0.938315,0.991589,0.945843,0.968176,0.99743,0.999654,655870,5563,37554,16078229,693424,661433,13230080,0.052413,nan,0.15825,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00327,partial,12.34,image/A_223.tif,0.481,0.966244,0.934692,0.991274,0.942446,0.966244,0.997278,0.999642,653515,5753,39909,16078039,693424,659268,13226850,0.052425,nan,0.16496,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00346,partial,14.81,image/A_233.tif,0.462,0.936492,0.880569,0.957133,0.916723,0.936492,0.998962,0.999654,128453,5753,11669,16631341,140122,134206,13230080,0.010591,nan,0.184449,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00347,partial,14.81,image/A_233.tif,0.446,0.940658,0.887964,0.954354,0.927349,0.940658,0.999023,0.999626,129942,6215,10180,16630879,140122,136157,13230080,0.010591,nan,0.147505,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00356,partial,24.68,image/A_238.tif,0.459,0.955691,0.915142,0.978218,0.934178,0.955691,0.999054,0.99977,171105,3810,12056,16590245,183161,174915,13226850,0.013848,nan,0.170667,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00357,partial,24.68,image/A_238.tif,0.482,0.931943,0.87256,0.924718,0.939283,0.931943,0.998502,0.999156,172040,14006,11121,16580049,183161,186046,13230080,0.013844,nan,0.302724,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00396,partial,4.63,image/A_258.tif,0.46,0.948705,0.902415,0.997829,0.90419,0.948705,0.996377,0.999924,562071,1223,59558,16154364,621629,563294,13230080,0.046986,nan,0.528213,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00397,partial,4.63,image/A_258.tif,0.522,0.982447,0.9655,0.986264,0.97866,0.982447,0.996317,0.998395,1729266,24084,37707,14986159,1766973,1753350,13217160,0.133688,nan,0.607785,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00564,partial,18.51,image/C076.tif,0.452,0.822199,0.69808,0.999768,0.698193,0.822199,0.988007,0.999993,465238,108,201108,16110762,666346,465346,13230080,0.050366,nan,0.237112,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00565,partial,18.51,image/C076.tif,0.538,0.989628,0.979469,0.996363,0.982983,0.989628,0.997241,0.999445,2208434,8061,38231,14522490,2246665,2216495,13230080,0.169815,nan,0.598822,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00630,partial,12.34,image/C171.tif,0.471,0.985292,0.971011,0.989253,0.981363,0.985292,0.998445,0.999403,873675,9491,16592,15877458,890267,883166,13225984,0.067312,nan,0.335302,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00631,partial,12.34,image/C171.tif,0.418,0.984786,0.970028,0.989212,0.9804,0.984786,0.998393,0.999401,872818,9519,17449,15877430,890267,882337,13226850,0.067308,nan,0.298397,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00646,partial,3.7,image/C179.tif,0.464,0.994589,0.989236,0.993228,0.995953,0.994589,0.997689,0.998159,3563958,24298,14482,13174478,3578440,3588256,10821632,0.330675,nan,0.856186,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00647,partial,3.7,image/C179.tif,0.454,0.995803,0.99164,0.992392,0.999236,0.995803,0.998589,0.998458,2809088,21534,2147,13944447,2811235,2830622,11725216,0.23976,nan,0.79612,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00662,partial,14.81,image/C187.tif,0.446,0.980793,0.96231,0.98954,0.972199,0.980793,0.998863,0.999684,486920,5147,13924,16271225,500844,492067,13230080,0.037856,nan,0.1733,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00663,partial,14.81,image/C187.tif,0.471,0.984941,0.970329,0.986524,0.983364,0.984941,0.999102,0.999587,492512,6728,8332,16269644,500844,499240,13226850,0.037866,nan,0.18737,ok
orgsegnet,nucleus,orgsegnet_plant,PlantHunter,te_00686,partial,3.09,image/C199.tif,0.438,0.01215,0.006112,1.0,0.006112,0.01215,0.960718,1.0,4053,0,659044,16114119,663097,4053,13223620,0.050145,nan,0.0,ok
