model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status,infer_s,inst_n_pred,inst_n_gt,inst_precision@0.5,inst_recall@0.5,inst_f1@0.5,inst_ap@0.5,inst_precision@0.75,inst_recall@0.75,inst_f1@0.75,inst_ap@0.75,inst_pq,inst_sq,inst_rq,target_nm,model_type,force_scale
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00000,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.022289,0.01127,0.639779,0.011342,0.022289,0.983617,0.999893,3133,1764,273089,16499230,276222,4897,2098640,0.13162,0.033258,0.051518,ok,0.419,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00001,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.029108,0.014769,0.521654,0.014972,0.029108,0.982087,0.999749,4505,4131,296397,16472183,300902,8636,2074960,0.145016,0.037527,0.044057,ok,0.403,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00002,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.015962,0.008045,0.782258,0.008063,0.015962,0.981465,0.999957,2522,702,310259,16463733,312781,3224,1983200,0.157715,0.030764,0.035088,ok,0.414,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00003,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.022793,0.011528,0.808052,0.01156,0.022793,0.982766,0.999951,3372,801,288330,16484713,291702,4173,1932880,0.150916,0.028466,0.040583,ok,0.45,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00004,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.019256,0.009722,0.776005,0.009749,0.019256,0.984056,0.999954,2626,758,266736,16507096,269362,3384,1867760,0.144217,0.028425,0.04474,ok,0.413,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00005,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.006924,0.003474,0.692908,0.003479,0.006924,0.983296,0.999974,977,433,279815,16495991,280792,1410,1850000,0.151779,0.01076,0.017038,ok,0.408,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00006,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.014737,0.007423,0.698693,0.007447,0.014737,0.984236,0.999948,1978,853,263628,16510757,265606,2831,1844080,0.144032,0.026065,0.051629,ok,0.404,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00007,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.030901,0.015693,0.616684,0.015848,0.030901,0.986485,0.999864,3615,2247,224496,16546858,228111,5862,1835200,0.124298,0.060924,0.076418,ok,0.403,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00008,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.069703,0.03611,0.537695,0.037267,0.069703,0.988494,0.999625,7232,6218,186826,16576940,194058,13450,1778960,0.109085,0.078882,0.092829,ok,0.408,,,,,,,,,,,,,,,,
deepcontact_er,er,empiar_12885_aive,EMPIAR-12885,set1_00009,sparse,6.5104,Set1_-_AIVE_SOURCE_DATA/Dataset1_overview.tif,0.032979,0.016766,0.842034,0.016819,0.032979,0.989063,0.999965,3129,587,182910,16590590,186039,3716,1704522,0.109144,0.063354,0.085771,ok,0.396,,,,,,,,,,,,,,,,
