model,organelle,dataset,dataset_label,n_crops,dice_mean,dice_std,dice_median,dice_n,iou_mean,iou_std,iou_median,iou_n,precision_mean,precision_std,precision_median,precision_n,recall_mean,recall_std,recall_median,recall_n,f1_mean,f1_std,f1_median,f1_n,accuracy_mean,accuracy_std,accuracy_median,accuracy_n,specificity_mean,specificity_std,specificity_median,specificity_n,tp_mean,tp_std,tp_median,tp_n,fp_mean,fp_std,fp_median,fp_n,fn_mean,fn_std,fn_median,fn_n,tn_mean,tn_std,tn_median,tn_n,gt_area_mean,gt_area_std,gt_area_median,gt_area_n,pred_area_mean,pred_area_std,pred_area_median,pred_area_n,eval_area_mean,eval_area_std,eval_area_median,eval_area_n,gt_frac_mean,gt_frac_std,gt_frac_median,gt_frac_n,cldice_mean,cldice_std,cldice_median,cldice_n,boundary_f1_mean,boundary_f1_std,boundary_f1_median,boundary_f1_n,inst_n_pred_mean,inst_n_pred_std,inst_n_pred_median,inst_n_pred_n,inst_n_gt_mean,inst_n_gt_std,inst_n_gt_median,inst_n_gt_n,inst_precision@0.5_mean,inst_precision@0.5_std,inst_precision@0.5_median,inst_precision@0.5_n,inst_recall@0.5_mean,inst_recall@0.5_std,inst_recall@0.5_median,inst_recall@0.5_n,inst_f1@0.5_mean,inst_f1@0.5_std,inst_f1@0.5_median,inst_f1@0.5_n,inst_ap@0.5_mean,inst_ap@0.5_std,inst_ap@0.5_median,inst_ap@0.5_n,inst_precision@0.75_mean,inst_precision@0.75_std,inst_precision@0.75_median,inst_precision@0.75_n,inst_recall@0.75_mean,inst_recall@0.75_std,inst_recall@0.75_median,inst_recall@0.75_n,inst_f1@0.75_mean,inst_f1@0.75_std,inst_f1@0.75_median,inst_f1@0.75_n,inst_ap@0.75_mean,inst_ap@0.75_std,inst_ap@0.75_median,inst_ap@0.75_n,inst_pq_mean,inst_pq_std,inst_pq_median,inst_pq_n,inst_sq_mean,inst_sq_std,inst_sq_median,inst_sq_n,inst_rq_mean,inst_rq_std,inst_rq_median,inst_rq_n,target_nm_mean,target_nm_std,target_nm_median,target_nm_n,force_scale_mean,force_scale_std,force_scale_median,force_scale_n
deepcontact_er,er,deepcontact_tem,DeepContact,9,0.353016,0.108207,0.340902,9,0.219936,0.085439,0.205474,9,0.293919,0.118563,0.251377,9,0.50609,0.159118,0.529464,9,0.353016,0.108207,0.340902,9,0.989762,0.002035,0.989434,9,0.992793,0.002545,0.994088,9,50541.444444,29423.860824,44368.0,9,120228.444444,42608.128528,97956.0,9,51543.0,28599.283476,41918.0,9,16554903.111111,48845.272896,16574096.0,9,102084.444444,46188.897776,87650.0,9,170769.888889,50855.607176,148484.0,9,1219539.555556,120802.397318,1238472.0,9,0.084871,0.040737,0.074584,9,0.402565,0.110494,0.38844,9,0.416223,0.100377,0.400886,9,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
deepcontact_er,er,empiar_10994_hela_sbfsem,EMPIAR-10994,74,0.304302,0.191196,0.283108,74,0.195305,0.141094,0.164897,74,0.565646,0.207523,0.562987,74,0.321492,0.244754,0.323131,74,0.304302,0.191196,0.283108,74,0.996518,0.002375,0.997356,74,0.999268,0.000759,0.999748,74,10386.756757,7313.882859,7880.0,74,12265.256757,12713.924354,4223.0,74,46159.783784,46237.690071,17993.0,74,16708404.202703,38996.119081,16717018.5,74,56546.540541,44326.060953,40580.0,74,22652.013514,17930.121129,11685.5,74,991819.635135,392899.306037,1010154.0,74,0.054073,0.027274,0.04978,74,0.338251,0.205251,0.31847,74,0.380556,0.206659,0.342305,74,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
deepcontact_er,er,empiar_12885_aive,AIVE,57,0.018908,0.015201,0.016363,57,0.009604,0.007816,0.008249,57,0.504537,0.256193,0.539474,57,0.009745,0.007983,0.008341,57,0.018908,0.015201,0.016363,57,0.992428,0.004446,0.994284,57,0.999931,7.2e-05,0.999952,57,1263.982456,1306.786382,861.0,57,1156.403509,1203.257725,801.0,57,125875.561404,74441.914688,94392.0,57,16648920.052632,75364.136892,16680795.0,57,127139.54386,75206.456028,94862.0,57,2420.385965,2209.122162,1871.0,57,1997753.263158,368766.299235,2053930.0,57,0.066801,0.041271,0.050983,57,0.027187,0.021339,0.020455,57,0.040583,0.029917,0.037673,57,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
deepcontact_er,er,empiar_13156_hela_stard3_er,EMPIAR-13156,84,0.001128,0.005219,0.0,84,0.000571,0.002651,0.0,84,0.016195,0.078916,0.0,79,0.000611,0.002818,0.0,84,0.001128,0.005219,0.0,84,0.998134,0.000995,0.998174,84,0.99988,0.000136,0.999923,84,20.511905,93.423192,0.0,84,2010.166667,2284.33127,1289.0,84,29302.178571,16593.341382,30168.5,84,16745883.142857,16708.983418,16746579.5,84,29322.690476,16602.27218,30168.5,84,2030.678571,2284.775263,1289.0,84,1966612.202381,783904.3314,2232790.0,84,0.015378,0.007722,0.014696,84,0.002286,0.010869,0.0,84,0.000882,0.003705,0.0,84,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
deepcontact_er,er,lab_islet_liver_er,islet/liver-ER,135,0.10991,0.137514,0.044375,135,0.064318,0.084949,0.022691,135,0.223986,0.158999,0.214478,105,0.105073,0.144751,0.028734,135,0.10991,0.137514,0.044375,135,0.99822,0.001968,0.998924,135,0.999506,0.00075,0.999865,135,3875.444444,8839.46058,400.0,135,8262.066667,12523.882445,2257.0,135,21605.777778,26422.919384,11517.0,135,16743472.711111,39401.682311,16758316.0,135,25481.222222,31089.420596,13045.0,135,12137.511111,20710.069585,2640.0,135,225186.496296,198790.237603,166026.0,135,0.09784,0.050339,0.090636,135,0.116355,0.148403,0.045596,135,0.069007,0.079519,0.038615,135,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
deepcontact_mito,mito,deepcontact_tem,DeepContact,67,0.485871,0.144889,0.490813,67,0.332345,0.120938,0.325217,67,0.491578,0.169954,0.492397,67,0.527898,0.190683,0.538732,67,0.485871,0.144889,0.490813,67,0.996746,0.001168,0.996921,67,0.998219,0.000953,0.998215,67,28525.567164,15779.829297,28037.0,67,29775.940299,15928.386363,29805.0,67,24819.970149,13211.321719,24277.0,67,16694094.522388,29416.851683,16695607.0,67,53345.537313,23489.396912,53198.0,67,58301.507463,24639.848833,58551.0,67,1065479.014925,235332.901822,1141690.0,67,0.050081,0.018703,0.049145,67,0.505494,0.161047,0.511544,67,0.212643,0.073544,0.211401,67,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
deepcontact_mito,mito,deeppi_em_skeletal_muscle,DeepPI,6,0.142647,0.110667,0.134362,6,0.080812,0.067442,0.072376,6,0.805385,0.215229,0.898719,6,0.082149,0.069424,0.07282,6,0.142647,0.110667,0.134362,6,0.851289,0.037531,0.846542,6,0.997957,0.002811,0.998976,6,233278.0,269337.835646,149558.0,6,27576.0,36234.356588,14804.0,6,2467390.833333,620308.345094,2562220.0,6,14048971.166667,729551.396413,14091234.0,6,2700668.833333,707979.533532,2673596.0,6,260854.0,305237.729155,160672.0,6,6553600.0,0.0,6553600.0,6,0.412089,0.108029,0.407959,6,0.179064,0.121915,0.188129,6,0.111697,0.073444,0.122161,6,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
deepcontact_mito,mito,empiar_10982_mitonet_benchmark,MitoNet,192,0.176253,0.229485,0.068187,192,0.117923,0.17064,0.035297,192,0.355299,0.328383,0.267148,143,0.167142,0.238926,0.061373,192,0.176253,0.229485,0.068187,192,0.995591,0.006137,0.997677,192,0.99904,0.001783,0.999873,192,8129.619792,40534.840358,953.5,192,15982.463542,29573.957285,2121.0,192,57984.552083,95021.008116,21354.0,192,16695119.364583,121930.922655,16735951.5,192,66114.171875,110833.0889,25187.5,192,24112.083333,59414.683466,4700.0,192,516820.3125,377597.697069,539612.5,192,0.116574,0.12126,0.073358,192,0.173283,0.230884,0.052538,192,0.127454,0.179366,0.03269,192,6.307292,7.906639,3.0,192,21.75,19.53869,17.0,192,0.205182,0.260449,0.060606,143,0.087366,0.13638,0.0,192,0.100944,0.151484,0.0,192,0.060848,0.096883,0.0,192,0.14262,0.216666,0.0,143,0.056521,0.104537,0.0,192,0.067873,0.122039,0.0,192,0.039943,0.076657,0.0,192,0.078827,0.121488,0.0,192,0.324994,0.382568,0.0,192,0.100944,0.151484,0.0,192,,,,0,,,,0
deepcontact_mito,mito,orgsegnet_plant,PlantHunter,198,0.089374,0.189331,0.0,198,0.060749,0.142903,0.0,198,0.179161,0.324549,0.0,179,0.103977,0.228413,0.0,198,0.089374,0.189331,0.0,198,0.977227,0.022123,0.984359,198,0.995707,0.006916,0.998011,198,23320.772727,63953.075435,0.0,198,71119.262626,115603.986238,32194.0,198,310946.222222,378147.06357,167974.0,198,16371829.742424,389250.130841,16512468.0,198,334266.994949,395805.158613,172114.0,198,94440.035354,132444.00628,47288.0,198,11566402.555556,2575672.045301,13202713.0,198,0.042028,0.092409,0.014224,198,0.081969,0.185869,0.0,198,0.01842,0.045114,0.0,198,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
deepcontact_mito,mito,zenodo_mitoem2,ME2-Mossy,55,0.499319,0.223822,0.487309,55,0.364266,0.215111,0.322147,55,0.426211,0.237443,0.395954,54,0.716765,0.21135,0.742366,55,0.499319,0.223822,0.487309,55,0.995567,0.00324,0.996178,55,0.99626,0.002878,0.996585,55,32704.490909,24385.375155,22388.0,55,62536.581818,48102.636857,57076.0,55,11844.654545,10663.487346,10691.0,55,16670130.272727,69661.205987,16657223.0,55,44549.145455,30691.494494,36695.0,55,95241.072727,63074.9637,108253.0,55,503440.945455,369935.29685,475800.0,55,0.160219,0.162057,0.112516,55,0.529828,0.223652,0.534731,55,0.346531,0.165707,0.320603,55,75.418182,65.84215,57.0,55,18.272727,13.191532,15.0,55,0.240057,0.212692,0.160469,54,0.587191,0.229143,0.571429,55,0.307123,0.225157,0.244898,55,0.206738,0.19393,0.139535,55,0.202776,0.201348,0.11267,54,0.499543,0.237606,0.48,55,0.26201,0.218374,0.174603,55,0.173416,0.184134,0.095652,55,0.254807,0.192937,0.191268,55,0.778344,0.195943,0.826965,55,0.307123,0.225157,0.244898,55,,,,0,,,,0
