model,organelle,n_datasets,n_crops,dice_datasetavg,dice_croppooled,iou_datasetavg,iou_croppooled,precision_datasetavg,precision_croppooled,recall_datasetavg,recall_croppooled,f1_datasetavg,f1_croppooled,accuracy_datasetavg,accuracy_croppooled,specificity_datasetavg,specificity_croppooled,tp_datasetavg,tp_croppooled,fp_datasetavg,fp_croppooled,fn_datasetavg,fn_croppooled,tn_datasetavg,tn_croppooled,gt_area_datasetavg,gt_area_croppooled,pred_area_datasetavg,pred_area_croppooled,eval_area_datasetavg,eval_area_croppooled,gt_frac_datasetavg,gt_frac_croppooled,cldice_datasetavg,cldice_croppooled,boundary_f1_datasetavg,boundary_f1_croppooled,inst_n_pred_datasetavg,inst_n_pred_croppooled,inst_n_gt_datasetavg,inst_n_gt_croppooled,inst_precision@0.5_datasetavg,inst_precision@0.5_croppooled,inst_recall@0.5_datasetavg,inst_recall@0.5_croppooled,inst_f1@0.5_datasetavg,inst_f1@0.5_croppooled,inst_ap@0.5_datasetavg,inst_ap@0.5_croppooled,inst_precision@0.75_datasetavg,inst_precision@0.75_croppooled,inst_recall@0.75_datasetavg,inst_recall@0.75_croppooled,inst_f1@0.75_datasetavg,inst_f1@0.75_croppooled,inst_ap@0.75_datasetavg,inst_ap@0.75_croppooled,inst_pq_datasetavg,inst_pq_croppooled,inst_sq_datasetavg,inst_sq_croppooled,inst_rq_datasetavg,inst_rq_croppooled,target_nm_datasetavg,target_nm_croppooled,force_scale_datasetavg,force_scale_croppooled
deepcontact_er,er,5,359,0.157453,0.116172,0.097947,0.071617,0.320857,0.302653,0.188602,0.120159,0.157453,0.116172,0.995012,0.996717,0.998275,0.999443,13217.628001,5070.885794,28784.467609,9303.155989,54897.260307,45773.763231,16680316.644083,16717068.194986,68114.888309,50844.649025,42002.09561,14374.041783,1280182.230505,1097041.913649,0.063792,0.06427,0.177329,0.128421,0.18145,0.121478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepcontact_mito,mito,5,518,0.278693,0.217005,0.191219,0.149529,0.451527,0.319958,0.319586,0.247032,0.278693,0.217005,0.963284,0.987047,0.997437,0.997352,65191.690118,21791.559846,41398.049657,43919.310811,574597.246467,173395.994208,16096029.013758,16538109.135135,639788.936585,195187.554054,106589.739775,65710.870656,4041148.565687,4879874.810811,0.156198,0.087536,0.293928,0.219273,0.163349,0.119874,40.862737,21.696356,20.011364,20.975709,0.22262,0.214742,0.337279,0.198663,0.204033,0.146854,0.133793,0.093334,0.172698,0.15911,0.278032,0.155169,0.164942,0.111102,0.10668,0.069664,0.166817,0.118013,0.551669,0.425943,0.204033,0.146854,,,,
incasem,er,5,359,0.230739,0.218246,0.140251,0.132297,0.221103,0.206016,0.279808,0.273565,0.230739,0.218246,0.993796,0.995129,0.996484,0.997031,22730.44546,18732.197772,58702.620739,49602.855153,45384.442848,32112.451253,16650398.490952,16676768.495822,68114.888309,50844.649025,81433.066199,68335.052925,1280182.230505,1097041.913649,0.063792,0.06427,0.250894,0.240576,0.275453,0.24298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incasem,mito,5,518,0.249222,0.222981,0.156476,0.141955,0.311531,0.224081,0.379049,0.363721,0.249222,0.222981,0.951601,0.969774,0.985291,0.97893,65869.559003,36566.438224,238079.545826,348491.667954,573919.377582,158621.11583,15899347.517589,16233536.777992,639788.936585,195187.554054,303949.104829,385058.106178,4041148.565687,4879874.810811,0.156198,0.087536,0.208429,0.184367,0.155259,0.11536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lipidnet,ld,3,446,0.587862,0.682658,0.492502,0.597693,0.69839,0.726458,0.592529,0.733357,0.587862,0.682658,0.994988,0.995016,0.996838,0.995682,81787.102461,48160.340807,52165.388665,72169.511211,31928.507907,11451.423767,16611335.000967,16645434.724215,113715.610368,59611.764574,133952.491126,120329.852018,4571777.590335,3699157.643498,0.030683,0.037971,0.508576,0.526563,0.437172,0.587239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lipidnet_scaled,ld,3,446,0.061837,0.038132,0.048325,0.027689,0.6349,0.20359,0.056431,0.047245,0.061837,0.038132,0.994632,0.996012,0.999472,0.999018,32437.043457,9148.356502,8772.864052,16448.022422,81278.566912,50463.408072,16654727.52558,16701156.213004,113715.610368,59611.764574,41209.907509,25596.378924,4571777.590335,3699157.643498,0.030683,0.037971,0.055671,0.030179,0.023691,0.020197,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,,
microsam_vit_l_em_organelles,er,5,359,0.002958,0.003206,0.001492,0.001617,0.004275,0.004362,0.002872,0.003336,0.002958,0.003206,0.992557,0.993794,0.996579,0.996791,293.468763,287.855153,57054.855143,53564.880223,67821.419546,50556.793872,16652046.256549,16672806.470752,68114.888309,50844.649025,57348.323906,53852.735376,1280182.230505,1097041.913649,0.063792,0.06427,0.0012,0.001124,0.024073,0.021624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsam_vit_l_em_organelles,ld,3,446,0.020146,0.00796,0.010904,0.004727,0.014327,0.008923,0.09434,0.027457,0.020146,0.00796,0.975277,0.98778,0.981591,0.991199,2354.799112,651.733184,303421.712776,146054.179372,111360.811257,58960.03139,16360078.676856,16571550.056054,113715.610368,59611.764574,305776.511887,146705.912556,4571777.590335,3699157.643498,0.030683,0.037971,0.023213,0.00965,0.018607,0.010479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsam_vit_l_em_organelles,mito,5,518,0.63279,0.570507,0.515338,0.461044,0.685092,0.634269,0.680642,0.621536,0.63279,0.570507,0.985556,0.991185,0.996028,0.995864,460080.815516,115095.111969,62618.37198,67797.216216,179708.121069,80092.442085,16074808.691435,16514231.22973,639788.936585,195187.554054,522699.187495,182892.328185,4041148.565687,4879874.810811,0.156198,0.087536,0.61714,0.533796,0.451613,0.417003,32.695502,23.732794,20.011364,20.975709,0.540134,0.624431,0.674516,0.598246,0.531887,0.555461,0.414924,0.448615,0.452541,0.521952,0.571156,0.50871,0.450306,0.471303,0.335588,0.363987,0.456057,0.477803,0.768584,0.740684,0.531887,0.555461,,,,
microsam_vit_l_em_organelles,nucleus,4,738,0.24226,0.390319,0.230076,0.371779,0.255346,0.405023,0.238265,0.384932,0.24226,0.390319,0.899859,0.9113,0.973025,0.976156,8876.52774,13285.890244,391041.620161,340883.391599,1289046.964213,1147259.798103,15088250.887886,15275786.920054,1297923.491953,1160545.688347,399918.147901,354169.281843,10194077.134831,8304153.443089,0.184759,0.217567,0.243914,0.392729,0.235413,0.379983,115.779596,102.514116,10.964856,13.029718,0.307475,0.412132,0.298674,0.397082,0.299885,0.400091,0.273211,0.364702,0.286941,0.384615,0.277788,0.369378,0.279552,0.372944,0.243548,0.325059,0.27038,0.360795,0.331711,0.432325,0.299885,0.400091,,,,
mitonet,mito,5,518,0.423225,0.435695,0.325688,0.349367,0.651128,0.600965,0.453665,0.435597,0.423225,0.435695,0.96437,0.989376,0.9986,0.998806,65031.039615,36692.301158,23022.091483,19745.637066,574757.896971,158495.252896,16114404.971932,16562282.80888,639788.936585,195187.554054,88053.131098,56437.938224,4041148.565687,4879874.810811,0.156198,0.087536,0.436441,0.445837,0.356507,0.362014,34.795928,25.959514,20.011364,20.975709,0.498141,0.564712,0.690263,0.614326,0.519783,0.541384,0.397771,0.430511,0.40202,0.456807,0.573946,0.510248,0.428138,0.446463,0.314608,0.340931,0.443819,0.462526,0.778258,0.747094,0.519783,0.541384,,,,
mitonet_scaled,mito,5,518,0.558819,0.451012,0.446053,0.352539,0.705268,0.687422,0.582495,0.442884,0.558819,0.451012,0.984143,0.991605,0.997488,0.998923,412083.440898,71987.237452,38327.313989,17648.696911,227705.495688,123200.316602,16099099.749426,16564379.749035,639788.936585,195187.554054,450410.754887,89635.934363,4041148.565687,4879874.810811,0.156198,0.087536,0.572305,0.459166,0.398525,0.312909,31.056345,20.145749,20.011364,20.975709,0.45804,0.501137,0.596241,0.468154,0.438132,0.414445,0.318065,0.306596,0.330683,0.345739,0.477103,0.359691,0.338456,0.307038,0.233785,0.215279,0.363185,0.337167,0.721164,0.658332,0.438132,0.414445,12.0,12.0,,
nucleonet,nucleus,4,738,0.815485,0.876037,0.73905,0.808703,0.799782,0.874903,0.901522,0.913607,0.815485,0.876037,0.957592,0.976338,0.95728,0.976116,1226552.054297,1110497.031165,640122.357385,346938.299458,71371.437656,50048.657182,14839170.150662,15269732.012195,1297923.491953,1160545.688347,1866674.411683,1457435.330623,10194077.134831,8304153.443089,0.184759,0.217567,0.740945,0.825869,0.559928,0.676056,94.78725,86.153046,10.964856,13.029718,0.375717,0.469982,0.527408,0.577834,0.380405,0.462979,0.317384,0.391979,0.31829,0.403671,0.386808,0.445176,0.314282,0.390595,0.251294,0.314173,0.323358,0.395585,0.677178,0.714256,0.380405,0.462979,,,,
nucleonet_scaled,nucleus,4,738,0.858928,0.893521,0.790158,0.8307,0.871735,0.907407,0.893275,0.909303,0.858928,0.893521,0.982791,0.986146,0.985728,0.987594,1216933.072458,1102847.014905,207723.740347,174731.734417,80990.419495,57698.673442,15271568.7677,15441938.577236,1297923.491953,1160545.688347,1424656.812804,1277578.749322,10194077.134831,8304153.443089,0.184759,0.217567,0.809432,0.864421,0.592893,0.696971,11.591051,13.27786,10.964856,13.029718,0.728708,0.749303,0.819153,0.814593,0.744194,0.754656,0.635961,0.645547,0.642845,0.66042,0.713363,0.708151,0.654469,0.662886,0.536086,0.540485,0.657631,0.663618,0.846101,0.846572,0.744194,0.754656,20.0,20.0,,
