step,organelle,dice,dice_lo,dice_hi,n_eval
24999,er,0.22950739706242002,0.2140680643983096,0.24399270655909955,315
24999,mito,0.45740799832823054,0.44699347486949254,0.46914039949162345,948
49999,er,0.22248687317793564,0.20291217917901255,0.245430768653738,315
49999,mito,0.5351131939790517,0.5193184556818156,0.5505489894486191,946
74999,er,0.20981847123407227,0.18515182707879946,0.2358004364903089,314
74999,mito,0.5788896616942354,0.5639913547164295,0.5939768995226089,940
99999,er,0.3023675256299856,0.2785819343786357,0.33449241584204126,315
99999,mito,0.6134643580350128,0.5970372986375019,0.628989143761215,935
124999,er,0.29303244748681634,0.2702788784018278,0.3220942994170085,314
124999,mito,0.6168112938579671,0.6035463589864903,0.6316339382686137,937
149999,er,0.33033735359290156,0.30959222583935697,0.35624692142981024,316
149999,mito,0.6366991500759043,0.6234227192068053,0.6507336605745672,943
174999,er,0.3427670707553719,0.31932842748280854,0.3681389496781883,314
174999,mito,0.6237553671740446,0.6105125216404161,0.6366278412876781,938
199999,er,0.3252895226380622,0.30160750298707123,0.35389647874615815,314
199999,mito,0.6614603790400451,0.647386376827442,0.6767639024795219,931
224999,er,0.3422462309562946,0.3174940566383572,0.3708782330562419,314
224999,mito,0.6909358951707769,0.6758883732447861,0.7057525839506787,937
249999,er,0.381634041011129,0.3585788977173326,0.41116202466707563,316
249999,mito,0.7007773643344298,0.6885878312300664,0.7120808460204762,941
274999,er,0.3975075852725556,0.3753672432598266,0.4247073610080887,316
274999,mito,0.7021894512740012,0.6896200581009142,0.7157772118351741,937
299999,er,0.39162156358623024,0.3704669473787118,0.417053486422627,315
299999,mito,0.7210162973005124,0.7078495135720722,0.734378462392246,933
324999,er,0.42870991800085323,0.40734813032224965,0.4544575125078202,315
324999,mito,0.7303720038630472,0.7161270274911963,0.7434091598639413,936
349999,er,0.42021487022746634,0.4035674745677694,0.4386725287963298,316
349999,mito,0.7364187775030024,0.7211432850028473,0.7509312342155233,934
374999,er,0.4258101418687715,0.4097706041181859,0.4422208268183964,315
374999,mito,0.7178439695900982,0.7035486003216133,0.7315631978442464,932
399999,er,0.4253380708415431,0.4078026322723636,0.4430183135122187,307
399999,mito,0.7317492820940845,0.7179559399487898,0.7448984602780091,932
424999,er,0.4386809719679315,0.4213567606694429,0.45426555820309567,312
424999,mito,0.7419946723928692,0.7280619907247384,0.7556602771910116,932
449999,er,0.43130084814859676,0.41358750535553956,0.449374403244619,307
449999,mito,0.7546598634999513,0.7398683032533323,0.7692055314223939,927
474999,er,0.4426119562499222,0.42381218209495913,0.4622969912161069,298
474999,mito,0.7691462480193358,0.7562663160075009,0.7815716110758936,927
499999,er,0.42727020527241083,0.40344500487453694,0.4484369976010573,298
499999,mito,0.756684942515799,0.7402226472823802,0.7727799778364195,932
524999,er,0.4408502621869105,0.4203869809897688,0.46183961586102273,305
524999,mito,0.783130890818332,0.7710043357041909,0.7967227158188412,926
549999,er,0.45829789043142866,0.44044366039630867,0.47625319694366375,312
549999,mito,0.7732559876920517,0.7620193970864825,0.7845282653396897,925
574999,er,0.4556097592086945,0.43519357269678605,0.47531897915940885,301
574999,mito,0.7799363055477249,0.7680734479365252,0.7918742931669176,929
599999,er,0.4702794905070574,0.4534854880267724,0.4861891514596075,302
599999,mito,0.7728526185807862,0.7608570063026704,0.7846870840045305,924
624999,er,0.4526866597665755,0.4334571315726603,0.47356306926072217,309
624999,mito,0.7694199823469983,0.7565140299513852,0.7824833832184204,927
649999,er,0.4703110151705071,0.4529862507502572,0.48757397992337737,310
649999,mito,0.7799151709663954,0.7661442230456638,0.7928463622549814,927
674999,er,0.46756838613250407,0.4504463576740484,0.48657983528391446,308
674999,mito,0.785079102805638,0.773197142640784,0.7968858971035659,927
699999,er,0.4478803619508332,0.42632607659119,0.47021975626903134,304
699999,mito,0.7442942581633811,0.7250050261539005,0.7621126562847439,925
724999,er,0.4619083310058289,0.4438625866842616,0.4800196847246625,305
724999,mito,0.763784966315054,0.7456089406410302,0.7804383992176144,926
749999,er,0.466360989404283,0.443516734789305,0.493436423409988,304
749999,mito,0.749106270505137,0.7347696769964057,0.7637798696626812,926
