model,organelle,label_pct,dice,dice_lo,dice_hi,n_eval
QuantEM,mito,1,0.6676501013706058,0.6566704939831828,0.6798183394122987,937
QuantEM,mito,2,0.6814335167430194,0.6730236260017295,0.68958199637378,932
QuantEM,mito,5,0.7046974787134332,0.6943186742995819,0.7141810010265305,929
QuantEM,mito,10,0.712149818210818,0.7003259270277947,0.7230650197110757,933
QuantEM,mito,25,0.7182635080077813,0.7014877178533369,0.734169664039227,934
QuantEM,mito,50,0.7071544338312288,0.6908399723930845,0.7231949757067051,930
QuantEM,mito,75,0.7415302057831449,0.7274115936307801,0.7556640196131815,930
QuantEM,mito,100,0.7640702097610584,0.7482542211652654,0.7755692678297335,933
DINOv3,mito,1,0.5157916695619356,0.49475045937082035,0.53939776850056,956
DINOv3,mito,2,0.4749954673142137,0.4578429904684679,0.4916317821917292,966
DINOv3,mito,5,0.5693523505469198,0.5523319389272109,0.587173546156711,955
DINOv3,mito,10,0.5947344732507178,0.5851688472058888,0.6049207595630212,940
DINOv3,mito,25,0.5926002204537862,0.582382666106607,0.6025370795003426,947
DINOv3,mito,50,0.6249343376340815,0.6141644911773892,0.6342943788149628,937
DINOv3,mito,75,0.5995532799490306,0.5891840728563122,0.6099356061833577,941
DINOv3,mito,100,0.6067320273004937,0.5961611632379453,0.6170493673205198,932
OmniEM,mito,1,0.6553244012034891,0.6444479813261295,0.667943490076642,928
OmniEM,mito,2,0.66832859562416,0.6592459062556405,0.6773100744392048,931
OmniEM,mito,5,0.6948373434248871,0.6841694328111358,0.7072639305018649,937
OmniEM,mito,10,0.7292747670699427,0.7185247943045889,0.7412837058515062,930
OmniEM,mito,25,0.7236756218434157,0.7064877016050612,0.7385475852138199,927
OmniEM,mito,50,0.733332539027966,0.7199239417363417,0.7463304126054563,926
OmniEM,mito,75,0.7352352182171251,0.7236819840698806,0.748104967429375,926
OmniEM,mito,100,0.7227888427966652,0.7059942875777234,0.7376985695512236,927
