experiment,group,organelle,dice,dice_lo,dice_hi,pq,pq_lo,pq_hi,n_eval
baseline_continued,control,er,0.1498536440970871,0.1383620827258595,0.1613399503894291,,,,313
baseline_continued,control,mito,0.4839420608802277,0.466199195591453,0.5018880673840185,0.1873922769531865,0.1725669550247355,0.2016087594177503,938
fino_scale_preserve,scale,er,0.1664251756933364,0.1524684522020059,0.1844324617029456,,,,307
fino_scale_preserve,scale,mito,0.5316668836812158,0.5121664284859003,0.5498529392167713,0.2006738938332204,0.187679558880414,0.2140372311891146,933
fino_scale_suppress,scale,er,0.1979689283805083,0.1840929727517829,0.2136851599398928,,,,315
fino_scale_suppress,scale,mito,0.4619017632501703,0.4447616655662328,0.4805293149553823,0.1655533081758038,0.1543436051163573,0.1768595944112231,928
fino_modality_preserve,modality,er,0.1975482965183005,0.1784158476006189,0.2207248095198992,,,,311
fino_modality_preserve,modality,mito,0.5361026999196705,0.5199822276711095,0.5531494231921724,0.1948840181448576,0.1820762702924258,0.2099777563378345,932
fino_modality_suppress,modality,er,0.1595966206083006,0.144184002950707,0.1786756601054603,,,,305
fino_modality_suppress,modality,mito,0.5135405601304459,0.4970368835836787,0.529471525062389,0.1837183229703395,0.1729744666750904,0.1949888999648725,934
