experiment,label,group,organelle,dice,dice_lo,dice_hi,pq,pq_lo,pq_hi,n_eval
base_512_seed1,Base Seed 1,base,er,0.1952529390817361,0.1883350431315971,0.2029614782390403,,,,313
base_512_seed1,Base Seed 1,base,mito,0.4501924816283533,0.4364507309545171,0.46521775457339,0.1663761759202008,0.1573213057595777,0.1750764669180765,934
base_512_seed2,Base Seed 2,base,er,0.1673912116909262,0.1531969999557042,0.1821493304468509,,,,308
base_512_seed2,Base Seed 2,base,mito,0.4638183547760377,0.4469627901752964,0.4789792536589464,0.1822545142310929,0.1723704464771998,0.1922071395557063,939
gram_anchoring_512,With Gram anchoring,gram,er,0.1693444629825415,0.1628440222351748,0.1763942950317667,,,,306
gram_anchoring_512,With Gram anchoring,gram,mito,0.4300356388559254,0.4159009042200783,0.4427459438264972,0.159679969810005,0.1527491819707939,0.1671376025085911,947
large_context_full_1024,Large Context Full,ctx,er,0.1572171439361361,0.1479861492125714,0.1666944507658539,,,,315
large_context_full_1024,Large Context Full,ctx,mito,0.4060268259157546,0.3926008826100109,0.4205204692396718,0.1697197769698535,0.1616914635328988,0.1784650186325194,938
large_context_ramp_light_512_768,Large Context Ramp Light,ctx,er,0.1802795446987141,0.1667097596522055,0.194429577895396,,,,313
large_context_ramp_light_512_768,Large Context Ramp Light,ctx,mito,0.4000224260691357,0.3884510509639172,0.4108504471237952,0.1547265996392797,0.147283121702534,0.1621288482565546,946
large_context_ramp_heavy_512_768_1024,Large Context Ramp Heavy,ctx,er,0.1456747497951291,0.1372237687063067,0.1543412027311307,,,,315
large_context_ramp_heavy_512_768_1024,Large Context Ramp Heavy,ctx,mito,0.3820621549267953,0.3614921104164891,0.3993947011531846,0.1492562737131751,0.1426493509095927,0.1553360611448071,941
