organelle,model,decoder,neck,head_type,dice,inst_pq
ER,OmniEM,upernet,resnet34_detail,dense,0.4356,
ER,OmniEM,dpt,resnet34_detail,dense,0.4038,
ER,OmniEM,deeplabv3plus,resnet34_detail,dense,0.3936,
ER,OmniEM,pspnet,resnet34_detail,dense,0.3622,
ER,OmniEM,unet,resnet34_detail,dense,0.3603,
ER,OmniEM,nnunet_convnext_unet,resnet34_detail,dense,0.3275,
ER,QuantEM,unet,resnet34_detail,dense,0.46211,
ER,QuantEM,dpt,resnet34_detail,dense,0.45070,
ER,QuantEM,deeplabv3plus,resnet34_detail,dense,0.44723,
ER,QuantEM,upernet,resnet34_detail,dense,0.44354,
ER,QuantEM,nnunet_convnext_unet,resnet34_detail,dense,0.43176,
ER,QuantEM,pspnet,resnet34_detail,dense,0.26758,
mito,OmniEM,panoptic_deeplab,naive_1x1,instance,0.698,0.405
mito,OmniEM,deeplabv3plus,resnet34_detail,dense,0.6963,
mito,OmniEM,dpt,resnet34_detail,dense,0.6926,
mito,OmniEM,affinity_mws,naive_1x1,instance,0.6925,0.010
mito,OmniEM,upernet,resnet34_detail,dense,0.6791,
mito,OmniEM,unet,resnet34_detail,dense,0.6711,
mito,OmniEM,nnunet_convnext_unet,resnet34_detail,dense,0.6701,
mito,OmniEM,pspnet,resnet34_detail,dense,0.6266,
mito,OmniEM,mask2former_query_hf,naive_1x1,query,0.576,0.082
mito,QuantEM,dpt,resnet34_detail,dense,0.69985,
mito,QuantEM,affinity_mws,resnet34_detail,instance,0.69729,0.24342
mito,QuantEM,panoptic_deeplab,resnet34_detail,instance,0.69497,0.34828
mito,QuantEM,upernet,resnet34_detail,dense,0.69252,
mito,QuantEM,deeplabv3plus,resnet34_detail,dense,0.69149,
mito,QuantEM,unet,resnet34_detail,dense,0.68718,
mito,QuantEM,pspnet,resnet34_detail,dense,0.66002,
mito,QuantEM,nnunet_convnext_unet,resnet34_detail,dense,0.64549,
mito,QuantEM,mask2former_query_hf,naive_1x1,query,0.56390,0.16705
