organelle,model,decoder,neck,dice
ER,OmniEM,upernet,naive_1x1,0.4383
ER,OmniEM,upernet,resnet34_detail,0.4474
ER,OmniEM,dpt,naive_1x1,0.3257
ER,OmniEM,dpt,resnet34_detail,0.3398
ER,OmniEM,deeplabv3plus,naive_1x1,0.3952
ER,OmniEM,deeplabv3plus,resnet34_detail,0.3709
ER,OmniEM,nnunet_convnext_unet,naive_1x1,0.3771
ER,OmniEM,nnunet_convnext_unet,resnet34_detail,0.4085
ER,QuantEM,upernet,naive_1x1,0.2468
ER,QuantEM,upernet,resnet34_detail,0.2199
ER,QuantEM,dpt,naive_1x1,0.2270
ER,QuantEM,dpt,resnet34_detail,0.2384
ER,QuantEM,deeplabv3plus,naive_1x1,0.2411
ER,QuantEM,deeplabv3plus,resnet34_detail,0.1899
ER,QuantEM,nnunet_convnext_unet,naive_1x1,0.2733
ER,QuantEM,nnunet_convnext_unet,resnet34_detail,0.1948
mito,OmniEM,upernet,naive_1x1,0.7214
mito,OmniEM,upernet,resnet34_detail,0.7258
mito,OmniEM,affinity_mws,naive_1x1,0.7357
mito,OmniEM,affinity_mws,resnet34_detail,0.7053
mito,OmniEM,nnunet_convnext_unet,naive_1x1,0.7250
mito,OmniEM,nnunet_convnext_unet,resnet34_detail,0.7275
mito,OmniEM,panoptic_deeplab,naive_1x1,0.6989
mito,OmniEM,panoptic_deeplab,resnet34_detail,0.7256
mito,QuantEM,upernet,naive_1x1,0.7063
mito,QuantEM,upernet,resnet34_detail,0.6925
mito,QuantEM,affinity_mws,naive_1x1,0.7174
mito,QuantEM,affinity_mws,resnet34_detail,0.6973
mito,QuantEM,nnunet_convnext_unet,naive_1x1,0.7153
mito,QuantEM,nnunet_convnext_unet,resnet34_detail,0.6455
mito,QuantEM,panoptic_deeplab,naive_1x1,0.6975
mito,QuantEM,panoptic_deeplab,resnet34_detail,0.6950
